vehicle_id,current_speed_kmph,recommended_speed_kmph,next_signal_eta_sec,green_wave_status
V000385,31.0,31.4,15,True
V000576,25.3,21.9,76,True
V000928,19.4,24.1,47,False
V000917,28.9,23.4,78,False
V000074,22.9,18.9,66,False
V000342,34.0,38.6,27,False
V000140,26.1,25.0,83,True
V000733,31.9,27.1,72,False
V000481,53.6,56.0,50,True
V000201,31.7,35.4,76,True
V000159,31.7,25.7,55,False
V000195,1.0,15.0,87,False
V000005,20.1,15.6,78,False
V000014,32.8,30.9,75,True
V000513,25.9,30.1,36,False
V000748,24.8,28.2,22,True
V000937,40.6,43.2,15,True
V000384,39.9,32.0,40,False
V000956,31.9,26.2,14,False
V000415,15.6,15.0,34,True
V000426,44.3,40.7,28,True
V000405,29.8,24.1,48,False
V000761,29.7,28.3,37,True
V000383,39.1,32.3,27,False
V000394,23.5,27.5,87,False
V000502,29.2,33.8,80,False
V000316,34.4,35.6,37,True
V000657,20.6,15.0,85,False
V000603,37.1,43.3,55,False
V000073,30.4,37.9,45,False
V000419,38.3,33.5,26,False
V000040,32.0,35.3,89,True
V000128,39.6,45.1,64,False
V000395,44.4,45.0,19,True
V000580,28.0,25.2,80,True
V000167,32.2,31.9,42,True
V000199,32.1,32.3,43,True
V000782,43.4,41.8,58,True
V000447,32.8,39.7,30,False
V000262,42.7,46.6,61,True
V000790,47.3,43.2,68,False
V000770,43.5,44.9,20,True
V000740,29.0,32.0,42,True
V000357,25.7,19.9,64,False
V000522,41.3,39.0,28,True
V000727,32.6,39.1,78,False
V000501,29.8,30.9,36,True
V000922,34.1,29.6,19,False
V000706,30.5,24.5,90,False
V000378,21.6,21.9,44,True
V000714,37.1,37.9,34,True
V000060,33.2,30.6,57,True
V000667,42.3,44.4,82,True
V000846,39.8,32.9,75,False
V000930,26.4,20.7,87,False
V000754,16.6,17.3,30,True
V000253,32.3,25.3,63,False
V000980,35.3,41.4,29,False
V000490,35.2,29.5,50,False
V000036,33.9,36.7,65,True
V000371,29.4,27.7,58,True
V000647,27.2,25.6,13,True
V000724,24.4,28.6,87,False
V000693,54.4,54.4,41,True
V000029,38.9,42.5,19,True
V000715,25.6,25.7,44,True
V000682,35.7,37.2,25,True
V000661,37.7,41.9,78,False
V000152,32.5,34.2,24,True
V000268,22.8,24.6,80,True
V000620,45.1,49.7,62,False
V000467,18.3,25.5,18,False
V000698,28.3,26.3,52,True
V000151,15.7,16.9,21,True
V000261,28.8,22.2,56,False
V000254,28.3,26.0,52,True
V000617,36.0,34.6,44,True
V000593,40.4,45.8,28,False
V000679,37.6,37.8,38,True
V000166,27.9,31.6,45,True
V000013,21.3,15.0,11,False
V000120,18.6,18.0,22,True
V000839,48.0,54.4,58,False
V000095,18.8,15.0,38,True
V000997,21.4,15.0,58,False
V000729,0.0,15.0,23,False
V000855,38.9,42.2,25,True
V000914,23.7,23.0,32,True
V000817,30.1,29.5,77,True
V000601,40.7,43.4,49,True
V000083,38.9,35.0,85,True
V000531,16.6,20.6,72,False
V000194,48.7,43.1,22,False
V000434,31.4,29.7,77,True
V000170,39.7,42.2,54,True
V000896,46.9,52.2,83,False
V000259,30.7,35.4,46,False
V000709,39.2,42.7,80,True
V000310,10.0,15.0,44,False
V000865,39.2,33.2,87,False
V000546,35.0,30.5,22,False
V000675,27.3,33.1,16,False
V000392,33.3,39.0,31,False
V000797,35.2,42.4,50,False
V000853,6.5,15.0,59,False
V000752,30.5,31.1,33,True
V000422,50.1,52.5,54,True
V000771,33.6,37.0,78,True
V000746,44.4,46.7,80,True
V000092,29.5,33.8,86,False
V000112,10.4,15.0,61,False
V000652,28.8,23.7,71,False
V000587,37.8,33.1,85,False
V000353,48.8,41.0,26,False
V000147,26.2,23.8,43,True
V000276,26.4,19.9,11,False
V000215,35.3,32.4,75,True
V000792,33.9,36.0,29,True
V000716,32.3,38.6,26,False
V000775,27.0,32.4,28,False
V000959,36.1,32.1,58,False
V000173,23.4,17.5,82,False
V000861,25.7,20.8,44,False
V000002,30.3,37.8,16,False
V000100,44.4,45.2,57,True
V000955,30.0,24.9,41,False
V000829,38.8,44.3,87,False
V000428,17.9,16.2,63,True
V000538,43.4,49.8,68,False
V000427,26.2,22.4,33,True
V000671,26.4,24.7,66,True
V000988,14.9,15.0,55,True
V000442,26.5,32.8,69,False
V000175,36.8,42.7,74,False
V000976,33.8,35.0,46,True
V000862,43.3,38.8,45,False
V000191,21.9,20.4,64,True
V000721,9.1,16.7,76,False
V001000,41.4,43.1,39,True
V000932,9.2,15.0,49,False
V000499,21.6,20.8,21,True
V000187,47.9,48.4,49,True
V000515,20.0,18.9,62,True
V000113,47.0,50.2,50,True
V000462,46.9,52.5,21,False
V000581,48.6,48.7,20,True
V000218,13.9,15.0,19,True
V000863,20.8,18.2,40,True
V000206,24.2,19.0,21,False
V000061,25.8,32.8,31,False
V000962,36.6,33.7,83,True
V000197,29.3,34.1,17,False
V000266,46.5,49.9,20,True
V000849,16.8,21.5,46,False
V000910,42.4,49.4,80,False
V000642,32.2,34.2,73,True
V000640,38.7,45.1,11,False
V000987,42.8,37.5,64,False
V000768,37.9,39.9,75,True
V000171,31.4,35.8,27,False
V000916,37.5,33.8,71,True
V000301,27.5,31.4,73,True
V000088,37.6,42.1,75,False
V000913,21.1,26.4,78,False
V000847,21.1,18.1,25,True
V000284,48.1,51.0,61,True
V000066,26.7,23.6,11,True
V000981,32.7,36.5,88,True
V000031,32.6,32.0,34,True
V000600,34.0,35.6,10,True
V000241,31.7,30.4,64,True
V000972,37.5,32.1,78,False
V000497,33.4,28.2,54,False
V000689,21.3,15.0,41,False
V000104,26.6,28.5,77,True
V000010,23.8,29.4,87,False
V000063,41.1,33.4,15,False
V000273,33.7,26.8,87,False
V000008,36.1,35.4,67,True
V000901,38.7,42.5,31,True
V000597,36.0,30.5,77,False
V000043,32.4,28.7,38,True
V000755,16.5,15.0,32,True
V000217,21.0,19.4,19,True
V000535,44.2,39.8,56,False
V000701,26.0,23.6,27,True
V000879,42.2,45.9,75,True
V000618,11.8,15.0,55,True
V000533,47.1,40.4,16,False
V000702,45.7,47.9,64,True
V000498,38.7,38.3,73,True
V000485,28.3,35.3,58,False
V000346,22.3,18.9,31,True
V000619,41.5,45.1,57,True
V000440,29.4,33.1,24,True
V000345,37.2,32.7,53,False
V000380,51.1,57.6,41,False
V000352,17.4,17.3,79,True
V000323,21.2,24.1,25,True
V000246,38.2,32.5,47,False
V000370,48.8,44.9,48,True
V000409,26.0,27.4,71,True
V000388,36.2,33.3,47,True
V000626,13.7,15.0,43,True
V000059,27.8,25.8,37,True
V000365,28.8,31.0,10,True
V000339,39.0,38.8,90,True
V000103,21.3,15.0,82,False
V000004,24.9,27.3,60,True
V000468,25.8,24.6,37,True
V000412,45.6,43.1,49,True
V000143,26.1,19.6,75,False
V000027,24.3,19.8,14,False
V000803,27.6,23.2,69,False
V000126,34.1,41.1,89,False
V000544,45.7,44.6,72,True
V000287,31.8,24.5,17,False
V000927,20.9,15.1,55,False
V000830,20.5,15.0,10,False
V000463,25.9,27.3,88,True
V000634,27.6,22.6,68,False
V000487,14.5,15.0,52,True
V000528,33.9,31.8,48,True
V000424,44.4,49.3,55,False
V000193,28.6,25.7,23,True
V000749,28.0,27.3,10,True
V000963,29.9,33.4,54,True
V000018,40.6,39.5,33,True
V000649,29.3,34.0,61,False
V000915,32.8,35.4,55,True
V000047,46.4,45.0,11,True
V000334,21.2,21.3,22,True
V000455,21.3,28.8,65,False
V000240,27.0,29.6,72,True
V000622,43.6,50.1,35,False
V000707,37.9,32.8,20,False
V000410,31.2,30.9,77,True
V000628,45.1,51.6,75,False
V000084,24.0,21.2,29,True
V000836,37.2,44.7,62,False
V000439,44.1,37.7,25,False
V000488,18.3,24.7,72,False
V000672,25.9,25.0,10,True
V000826,31.2,24.4,29,False
V000718,38.7,44.8,42,False
V000960,23.4,19.4,38,False
V000200,31.8,24.2,70,False
V000765,35.2,29.4,60,False
V000691,43.0,45.5,57,True
V000586,41.9,49.5,48,False
V000517,20.2,15.0,56,False
V000033,28.5,27.9,64,True
V000131,33.8,28.7,33,False
V000510,45.0,48.9,78,True
V000090,23.9,17.8,44,False
V000309,17.5,15.0,23,True
V000562,24.3,19.4,66,False
V000936,34.6,35.4,66,True
V000758,44.4,50.4,30,False
V000457,28.6,28.8,27,True
V000119,35.7,28.6,55,False
V000900,40.9,41.9,65,True
V000554,37.2,42.0,10,False
V000247,37.6,31.7,55,False
V000250,34.1,27.3,35,False
V000696,33.0,28.0,24,False
V000772,32.5,36.4,34,True
V000838,13.0,15.0,46,True
V000109,34.5,35.1,15,True
V000446,10.5,15.0,27,False
V000030,15.9,15.0,60,True
V000165,44.0,51.5,63,False
V000335,46.0,41.9,52,False
V000393,47.9,54.3,14,False
V000288,43.9,45.2,30,True
V000226,35.5,29.5,35,False
V000885,39.2,38.7,71,True
V000638,24.5,31.7,44,False
V000127,38.1,36.8,25,True
V000873,30.1,35.9,63,False
V000548,30.0,26.1,72,True
V000757,16.1,17.2,80,True
V000093,41.5,47.0,73,False
V000341,45.2,51.9,26,False
V000230,37.8,37.6,51,True
V000590,45.2,47.4,61,True
V000958,42.6,34.6,74,False
V000700,31.5,27.6,59,True
V000857,44.1,40.6,26,True
V000897,33.0,26.5,24,False
V000878,16.5,15.0,23,True
V000448,31.0,28.1,12,True
V000239,53.6,60.0,26,False
V000229,34.6,37.3,29,True
V000834,42.2,41.0,54,True
V000686,33.0,40.8,74,False
V000298,39.5,34.0,11,False
V000907,24.1,23.7,40,True
V000115,15.0,17.4,16,True
V000612,29.4,22.3,53,False
V000349,25.4,28.9,64,True
V000655,41.5,35.1,86,False
V000584,36.5,30.7,11,False
V000377,43.1,37.7,65,False
V000627,48.1,55.0,71,False
V000321,30.0,32.9,47,True
V000919,33.8,36.3,46,True
V000756,36.2,37.1,72,True
V000935,22.7,19.4,20,True
V000064,32.2,34.1,64,True
V000549,41.1,39.7,41,True
V000984,34.1,28.4,89,False
V000398,54.9,57.9,29,True
V000786,48.9,43.0,75,False
V000328,7.8,15.0,33,False
V000374,27.2,32.3,41,False
V000130,41.7,44.3,45,True
V000631,28.4,30.5,24,True
V000968,37.0,35.7,43,True
V000110,45.7,44.0,41,True
V000858,30.6,33.6,64,True
V000971,33.7,37.5,35,True
V000552,40.8,41.0,70,True
V000472,33.8,41.3,23,False
V000324,50.0,57.3,74,False
V000149,15.3,15.0,88,True
V000304,12.8,17.9,33,False
V000225,28.2,28.9,34,True
V000512,31.8,32.0,85,True
V000808,26.0,18.9,90,False
V000996,40.9,42.1,29,True
V000880,34.7,41.1,39,False
V000150,37.4,41.9,25,False
V000820,35.6,40.2,26,False
V000565,32.2,26.8,61,False
V000317,19.5,17.2,14,True
V000969,37.1,32.8,45,False
V000776,15.6,15.0,34,True
V000281,25.9,27.2,28,True
V000708,2.6,15.0,64,False
V000221,27.6,28.6,12,True
V000507,36.0,35.0,88,True
V000299,34.5,31.1,35,True
V000386,20.5,15.0,21,False
V000730,29.8,36.1,16,False
V000874,32.7,24.9,58,False
V000889,27.6,19.6,62,False
V000216,15.5,20.7,77,False
V000231,13.6,21.5,49,False
V000953,37.0,40.6,39,True
V000184,29.3,21.5,38,False
V000500,12.3,15.0,53,True
V000402,34.8,42.3,64,False
V000307,47.7,52.6,71,False
V000164,27.8,28.9,17,True
V000023,37.2,33.0,75,False
V000527,42.2,34.4,64,False
V000687,30.3,22.6,16,False
V000909,23.1,24.9,48,True
V000688,23.3,15.6,24,False
V000723,11.9,19.8,44,False
V000401,39.6,34.5,56,False
V000908,31.5,34.9,45,True
V000895,34.8,29.3,54,False
V000290,50.5,51.1,63,True
V000543,27.7,21.0,41,False
V000633,25.9,30.2,50,False
V000404,29.2,30.6,16,True
V000050,22.0,15.4,33,False
V000068,19.9,25.5,15,False
V000800,32.0,32.8,10,True
V000536,37.8,44.5,16,False
V000406,45.9,52.6,51,False
V000583,31.2,37.9,37,False
V000905,51.9,45.1,46,False
V000413,32.5,26.4,70,False
V000028,25.6,33.4,45,False
V000436,17.9,17.7,87,True
V000659,22.5,18.3,22,False
