incident_id,timestamp,corridor_id,emergency_type,num_junctions_total,num_junctions_cleared,corridor_length_km,day_type,is_festival,weather_condition,is_rain,rainfall_mm,is_accident_nearby,preemption_success,background_congestion_index,emergency_vehicle_speed_kmph,response_time_sec,waiting_time_sec_other_traffic,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
EMG300044,2026-04-27 17:49:47,Old_Airport_Rd,Police Escort,5,5,2.01,Weekday,False,Clear,False,0.0,False,True,0.938,43.6,155.5,169.0,0.18,0.416,0.946,Police escort priority active - rolling signal clearance along corridor
EMG300045,2026-05-30 08:48:02,Sarjapur_Rd,Fire Truck,4,4,2.59,Weekend,False,Clear,False,0.0,False,True,0.729,48.4,175.8,110.7,0.235,0.543,0.963,Fire truck priority active - full corridor signal preemption engaged
EMG300046,2025-09-10 17:19:03,Hosur_Rd,Fire Truck,2,1,1.32,Weekday,False,Clear,False,0.0,False,True,0.791,43.6,108.9,80.4,0.103,0.237,0.963,Fire truck priority active - full corridor signal preemption engaged
EMG300047,2025-06-12 10:42:52,Tumkur_Rd,Police Escort,3,2,1.5,Weekday,False,Rain,True,16.3,False,True,0.717,49.4,112.0,107.7,0.118,0.272,0.885,Police escort priority active - rolling signal clearance along corridor
EMG300048,2025-05-08 16:14:25,Hosur_Rd,Ambulance,2,1,0.93,Weekday,False,Light Rain,True,6.1,False,True,0.527,49.5,65.2,62.7,0.094,0.217,0.926,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300049,2025-06-03 09:36:06,Tumkur_Rd,Ambulance,3,3,1.75,Weekday,False,Light Rain,True,7.1,False,False,1.0,28.8,353.2,146.3,0.191,0.442,0.838,Preemption partially degraded by extreme congestion - manual traffic police coordination advised
EMG300050,2025-08-18 07:24:23,ORR_North,Police Escort,4,4,1.6,Weekday,False,Clear,False,0.0,False,True,0.617,56.5,105.2,175.3,0.12,0.277,0.966,Police escort priority active - rolling signal clearance along corridor
EMG300051,2026-06-10 08:08:06,Tumkur_Rd,Ambulance,3,3,2.26,Weekday,False,Heavy Rain,True,52.3,True,True,1.0,37.0,194.8,146.8,0.206,0.476,0.753,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300052,2025-03-04 18:32:14,Sarjapur_Rd,Police Escort,4,3,1.85,Weekday,False,Clear,False,0.0,False,False,0.982,29.0,348.2,142.5,0.198,0.458,0.865,Preemption partially degraded by extreme congestion - manual traffic police coordination advised
EMG300053,2025-06-02 05:37:07,Tumkur_Rd,Ambulance,3,2,1.61,Weekday,False,Fog,False,0.0,False,True,0.172,42.9,136.7,53.1,0.135,0.311,0.966,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300054,2025-03-20 16:35:11,Sarjapur_Rd,Ambulance,4,4,2.07,Weekday,False,Clear,False,0.0,False,True,0.606,41.9,171.7,122.1,0.177,0.408,0.962,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300055,2026-03-17 10:19:43,Hosur_Rd,Ambulance,2,2,1.18,Weekday,False,Clear,False,0.0,False,True,0.692,44.4,93.1,106.4,0.107,0.248,0.966,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300056,2025-04-22 08:38:43,Sarjapur_Rd,Ambulance,4,4,2.49,Weekday,False,Fog,False,0.0,False,True,1.0,53.5,176.0,202.4,0.23,0.531,0.982,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300057,2025-11-04 09:16:54,Mysore_Rd,Police Escort,4,3,2.29,Weekday,False,Clear,False,0.0,False,True,0.958,44.4,183.9,120.3,0.188,0.435,0.958,Police escort priority active - rolling signal clearance along corridor
EMG300058,2025-10-11 12:43:19,Central_Loop,Ambulance,6,5,2.95,Weekend,False,Clear,False,0.0,False,True,0.109,51.1,210.3,75.4,0.257,0.594,0.955,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300059,2025-01-02 11:53:16,South_Loop,Ambulance,5,4,2.37,Weekday,False,Clear,False,0.0,False,True,0.313,58.9,139.5,90.4,0.219,0.507,0.985,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300060,2025-06-25 16:03:41,South_Loop,Ambulance,5,4,3.22,Weekday,False,Clear,False,0.0,False,True,0.474,45.3,263.8,130.9,0.281,0.649,0.979,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300061,2025-01-25 07:12:22,Mysore_Rd,Fire Truck,4,3,1.97,Weekend,False,Clear,False,0.0,False,True,0.299,42.6,164.8,77.2,0.186,0.429,0.955,Fire truck priority active - full corridor signal preemption engaged
EMG300062,2025-09-27 22:37:59,Central_Loop,Police Escort,6,5,3.29,Weekend,False,Rain,True,8.6,False,True,0.317,42.3,294.7,42.8,0.274,0.633,0.955,Police escort priority active - rolling signal clearance along corridor
EMG300063,2025-02-23 06:59:00,Hosur_Rd,Police Escort,2,1,1.19,Weekend,False,Clear,False,0.0,False,True,0.32,51.7,81.5,34.5,0.096,0.222,0.949,Police escort priority active - rolling signal clearance along corridor
EMG300064,2025-04-03 14:09:22,Old_Airport_Rd,Ambulance,5,5,2.88,Weekday,False,Clear,False,0.0,False,True,0.2,50.2,221.4,133.1,0.245,0.566,0.973,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300065,2026-05-23 08:39:21,Sarjapur_Rd,Ambulance,4,3,1.86,Weekend,False,Clear,False,0.0,False,True,0.718,39.5,152.6,113.2,0.166,0.384,0.954,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300066,2025-12-02 17:40:46,ORR_East,Ambulance,4,4,2.34,Weekday,False,Clear,False,0.0,False,True,0.996,35.1,227.3,210.8,0.218,0.503,0.946,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300067,2025-02-01 10:22:03,ORR_North,Ambulance,4,4,2.38,Weekend,False,Clear,False,0.0,False,True,0.487,49.1,176.4,104.6,0.196,0.452,0.942,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300068,2026-04-28 10:38:56,Central_Loop,Police Escort,6,5,3.63,Weekday,False,Clear,False,0.0,False,True,0.558,46.8,292.0,135.8,0.325,0.751,0.94,Police escort priority active - rolling signal clearance along corridor
EMG300069,2026-03-02 18:14:47,Sarjapur_Rd,Ambulance,4,4,1.68,Weekday,False,Clear,False,0.0,False,True,0.97,43.8,140.0,185.3,0.146,0.337,0.977,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300070,2026-03-25 11:38:35,ORR_East,Ambulance,4,4,2.7,Weekday,False,Clear,False,0.0,False,True,0.339,48.2,207.1,124.4,0.246,0.569,0.969,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300071,2025-03-06 18:39:50,Old_Airport_Rd,Ambulance,5,4,1.88,Weekday,False,Clear,False,0.0,False,True,1.0,52.2,126.3,128.5,0.177,0.408,0.957,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300072,2026-04-24 00:17:26,Hosur_Rd,Police Escort,2,1,1.56,Weekday,False,Clear,False,0.0,False,True,0.054,51.0,101.0,18.6,0.136,0.315,0.965,Police escort priority active - rolling signal clearance along corridor
EMG300073,2025-12-04 17:19:04,ORR_North,Police Escort,4,4,2.08,Weekday,False,Clear,False,0.0,False,True,0.809,48.8,147.8,212.3,0.189,0.437,0.986,Police escort priority active - rolling signal clearance along corridor
EMG300074,2026-05-16 16:46:47,ORR_North,Ambulance,4,3,2.05,Weekend,False,Rain,True,11.1,False,True,0.56,40.2,200.7,90.3,0.169,0.391,0.903,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300075,2025-08-22 15:05:47,Central_Loop,Ambulance,6,6,3.08,Weekday,False,Rain,True,9.8,False,True,0.381,58.7,186.9,112.4,0.255,0.59,0.929,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300076,2025-04-20 17:17:08,ORR_North,Ambulance,4,3,2.19,Weekend,False,Clear,False,0.0,False,True,0.535,43.5,182.8,122.7,0.18,0.415,0.967,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300077,2026-03-15 16:41:36,ORR_North,Ambulance,4,4,3.0,Weekend,False,Clear,False,0.0,False,True,0.374,47.7,214.3,112.4,0.256,0.592,0.965,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300078,2025-01-22 18:29:15,Tumkur_Rd,Fire Truck,3,2,1.5,Weekday,False,Light Rain,True,4.0,False,False,1.0,29.5,223.9,104.8,0.158,0.364,0.811,Preemption partially degraded by extreme congestion - manual traffic police coordination advised
EMG300079,2025-04-07 06:44:31,ORR_East,Police Escort,4,3,2.12,Weekday,True,Clear,False,0.0,False,True,0.591,42.0,174.9,93.0,0.187,0.431,0.902,Police escort priority active - rolling signal clearance along corridor
EMG300080,2025-11-22 17:23:37,ORR_North,Police Escort,4,4,2.21,Weekend,False,Clear,False,0.0,False,True,0.634,46.7,179.1,143.0,0.193,0.445,0.99,Police escort priority active - rolling signal clearance along corridor
EMG300081,2025-06-02 18:06:07,Hosur_Rd,Ambulance,2,1,1.12,Weekday,False,Clear,False,0.0,False,True,0.996,38.9,99.8,85.3,0.113,0.26,0.934,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300082,2025-09-20 17:45:22,South_Loop,Police Escort,5,5,2.08,Weekend,False,Rain,True,10.5,False,True,0.739,54.4,132.7,182.2,0.181,0.417,0.906,Police escort priority active - rolling signal clearance along corridor
EMG300083,2025-05-06 18:26:28,Old_Airport_Rd,Ambulance,5,4,2.06,Weekday,False,Rain,True,7.5,False,True,1.0,29.3,242.4,161.5,0.179,0.415,0.923,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300084,2025-10-20 14:58:15,ORR_North,Fire Truck,4,4,3.24,Weekday,True,Rain,True,18.9,False,True,0.683,50.7,239.8,160.3,0.272,0.629,0.856,Fire truck priority active - full corridor signal preemption engaged
EMG300085,2025-09-23 12:35:55,Hosur_Rd,Ambulance,2,2,0.93,Weekday,False,Clear,False,0.0,False,True,0.15,55.2,62.9,34.2,0.082,0.19,0.957,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300086,2026-06-27 15:11:05,ORR_North,Ambulance,4,3,2.33,Weekend,False,Clear,False,0.0,False,False,0.181,43.1,233.7,66.9,0.208,0.479,0.862,Preemption partially degraded by extreme congestion - manual traffic police coordination advised
EMG300087,2025-11-02 04:58:44,Tumkur_Rd,Ambulance,3,2,1.35,Weekend,True,Fog,False,0.0,False,False,0.384,40.0,185.5,82.4,0.115,0.265,0.833,Preemption partially degraded by extreme congestion - manual traffic police coordination advised
EMG300088,2025-02-01 12:33:38,Old_Airport_Rd,Ambulance,5,4,2.03,Weekend,False,Clear,False,0.0,False,True,0.1,44.3,164.7,52.7,0.191,0.44,0.98,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300089,2025-08-13 10:29:07,Hosur_Rd,Fire Truck,2,1,1.13,Weekday,False,Clear,False,0.0,False,True,0.592,44.4,89.2,53.6,0.109,0.253,0.936,Fire truck priority active - full corridor signal preemption engaged
EMG300090,2026-05-28 19:39:30,Central_Loop,Police Escort,6,6,3.1,Weekday,False,Clear,False,0.0,False,True,0.8,42.7,253.7,274.6,0.279,0.646,0.962,Police escort priority active - rolling signal clearance along corridor
EMG300091,2025-12-17 20:16:36,Tumkur_Rd,Fire Truck,3,2,2.06,Weekday,False,Clear,False,0.0,False,True,0.649,45.4,169.1,101.0,0.195,0.449,0.961,Fire truck priority active - full corridor signal preemption engaged
EMG300092,2025-10-31 09:55:31,South_Loop,Fire Truck,5,5,2.45,Weekday,False,Clear,False,0.0,False,True,0.844,48.9,192.1,223.1,0.23,0.532,0.961,Fire truck priority active - full corridor signal preemption engaged
EMG300093,2025-08-13 17:25:48,Hosur_Rd,Ambulance,2,2,1.13,Weekday,False,Heavy Rain,True,32.5,False,True,1.0,54.7,80.6,125.5,0.113,0.261,0.891,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300094,2025-06-20 10:32:18,ORR_East,Ambulance,4,3,1.34,Weekday,False,Heavy Rain,True,51.6,False,False,0.856,32.3,171.9,125.5,0.145,0.336,0.818,Preemption partially degraded by extreme congestion - manual traffic police coordination advised
EMG300095,2025-12-22 09:43:39,Hosur_Rd,Ambulance,2,2,1.56,Weekday,False,Clear,False,0.0,False,True,0.913,48.4,116.8,107.4,0.142,0.327,0.94,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300096,2025-03-24 00:58:58,Hosur_Rd,Ambulance,2,1,1.31,Weekday,False,Clear,False,0.0,False,True,0.169,44.5,100.9,29.0,0.131,0.302,0.976,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300097,2026-06-10 18:00:46,ORR_North,Ambulance,4,3,1.42,Weekday,False,Heavy Rain,True,35.3,False,False,1.0,35.1,230.9,171.4,0.173,0.401,0.826,Preemption partially degraded by extreme congestion - manual traffic police coordination advised
EMG300098,2026-03-02 08:04:59,Tumkur_Rd,Fire Truck,3,3,1.41,Weekday,False,Clear,False,0.0,False,True,0.823,38.8,127.5,154.6,0.12,0.278,0.968,Fire truck priority active - full corridor signal preemption engaged
EMG300099,2025-04-06 08:50:24,Hosur_Rd,Police Escort,2,2,1.14,Weekend,True,Light Rain,True,1.1,False,False,1.0,32.7,187.5,95.5,0.139,0.32,0.744,Preemption partially degraded by extreme congestion - manual traffic police coordination advised
EMG300100,2026-05-19 04:52:04,Sarjapur_Rd,Ambulance,4,4,1.73,Weekday,False,Clear,False,0.0,False,True,0.132,58.7,110.1,44.1,0.157,0.362,0.948,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300101,2025-01-15 22:44:41,Central_Loop,Fire Truck,6,6,3.18,Weekday,True,Clear,False,0.0,False,True,0.357,46.7,232.9,149.7,0.264,0.61,0.926,Fire truck priority active - full corridor signal preemption engaged
EMG300102,2026-05-10 16:26:01,Central_Loop,Ambulance,6,5,3.19,Weekend,False,Clear,False,0.0,False,True,0.351,45.4,276.6,103.6,0.277,0.64,0.982,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300103,2026-01-20 07:15:31,Central_Loop,Police Escort,6,5,3.11,Weekday,False,Clear,False,0.0,False,True,0.508,51.0,212.3,159.7,0.275,0.634,0.974,Police escort priority active - rolling signal clearance along corridor
EMG300104,2025-07-08 17:44:09,Central_Loop,Ambulance,6,6,2.87,Weekday,False,Heavy Rain,True,33.7,False,True,1.0,45.1,216.6,246.5,0.261,0.604,0.882,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300105,2026-05-03 11:09:51,Sarjapur_Rd,Fire Truck,4,4,2.15,Weekend,False,Clear,False,0.0,False,True,0.197,36.2,209.8,68.8,0.17,0.394,0.973,Fire truck priority active - full corridor signal preemption engaged
EMG300106,2025-11-21 18:41:21,South_Loop,Ambulance,5,4,4.01,Weekday,False,Clear,False,0.0,False,True,0.974,38.8,380.9,180.2,0.349,0.807,0.979,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300107,2026-06-04 11:58:41,Mysore_Rd,Ambulance,4,3,2.01,Weekday,False,Clear,False,0.0,False,True,0.24,44.9,164.7,65.3,0.161,0.373,0.961,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300108,2026-04-27 18:05:56,Sarjapur_Rd,Fire Truck,4,4,3.27,Weekday,False,Clear,False,0.0,False,True,0.974,45.7,268.7,195.8,0.3,0.694,0.99,Fire truck priority active - full corridor signal preemption engaged
EMG300109,2025-07-01 16:01:07,South_Loop,Ambulance,5,4,3.17,Weekday,False,Heavy Rain,True,66.8,False,True,0.769,51.2,225.8,190.6,0.279,0.644,0.903,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300110,2026-03-01 07:42:33,Mysore_Rd,Ambulance,4,4,2.49,Weekend,False,Clear,False,0.0,False,True,0.398,39.5,224.0,122.4,0.223,0.516,0.976,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300111,2026-05-06 19:40:26,Old_Airport_Rd,Ambulance,5,5,2.46,Weekday,False,Clear,False,0.0,False,True,0.811,45.0,187.7,154.4,0.207,0.478,0.953,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300112,2025-01-07 20:29:25,Tumkur_Rd,Ambulance,3,2,1.59,Weekday,False,Clear,False,0.0,False,True,0.535,48.0,114.5,83.7,0.127,0.292,0.983,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300113,2025-09-19 15:37:17,Tumkur_Rd,Police Escort,3,3,1.36,Weekday,False,Rain,True,9.8,False,True,0.498,48.8,98.9,111.1,0.119,0.276,0.921,Police escort priority active - rolling signal clearance along corridor
EMG300114,2025-03-28 20:59:02,ORR_North,Ambulance,4,4,2.37,Weekday,False,Clear,False,0.0,False,True,0.412,48.3,165.6,130.2,0.211,0.486,0.975,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300115,2025-11-07 14:44:55,ORR_North,Ambulance,4,4,2.54,Weekday,False,Clear,False,0.0,False,True,0.188,52.9,166.4,100.0,0.215,0.497,0.974,Ambulance priority active - all conflicting signals preempted for corridor clearance
EMG300116,2026-04-20 12:45:03,South_Loop,Police Escort,5,4,2.16,Weekday,False,Clear,False,0.0,False,True,0.17,47.4,157.1,66.4,0.189,0.438,0.975,Police escort priority active - rolling signal clearance along corridor
