vehicle_id,vehicle_type,gps_lat,gps_long,current_speed_kmph,lane,source,destination,priority_level,fuel_type
V000084,Bike,13.026991,77.620861,24.0,1,J0011,J0030,Normal,Petrol
V000085,Bus,12.964413,77.639506,34.2,2,J0010,J0021,Normal,Diesel
V000086,Car,12.99199,77.619206,32.1,2,J0004,J0008,Normal,Petrol
V000087,Car,12.943822,77.617814,46.5,2,J0023,J0018,Normal,Electric
V000088,Bike,12.988911,77.62223,37.6,3,J0020,J0014,High,Petrol
V000089,Car,12.954336,77.626398,53.9,1,J0015,J0008,Normal,Electric
V000090,Car,12.961602,77.6551,23.9,2,J0012,J0002,Normal,Electric
V000091,Ambulance,12.93318,77.619769,24.4,2,J0003,J0022,Emergency,Diesel
V000092,Bike,12.977401,77.569521,29.5,2,J0002,J0026,Normal,Electric
V000093,Car,12.942906,77.637049,41.5,2,J0018,J0007,Normal,Petrol
V000094,Car,12.981658,77.642064,26.2,2,J0001,J0009,Normal,Electric
V000095,Truck,12.978285,77.588469,18.8,2,J0004,J0022,Normal,Diesel
V000096,Bike,12.932869,77.606925,46.3,3,J0019,J0011,Normal,Petrol
V000097,Bike,12.984684,77.648699,39.8,4,J0004,J0024,Normal,Electric
V000098,Truck,12.999702,77.543575,27.3,1,J0015,J0017,Normal,Diesel
V000099,Bike,12.940624,77.63927,26.9,1,J0017,J0010,Normal,Petrol
V000100,Bus,12.99288,77.629035,44.4,4,J0014,J0022,Normal,Diesel
V000101,Car,12.980523,77.643042,32.1,3,J0005,J0003,Normal,Petrol
V000102,Bike,13.008561,77.576937,28.5,1,J0015,J0017,Normal,Electric
V000103,Car,12.965524,77.657122,21.3,2,J0021,J0029,Normal,Petrol
V000104,Bike,12.88775,77.680485,26.6,4,J0011,J0027,Normal,Electric
V000105,Car,13.00552,77.61005,16.7,2,J0022,J0009,Normal,Diesel
V000106,Bus,12.973996,77.597412,44.8,1,J0027,J0003,Normal,CNG
V000107,Car,12.978546,77.616605,43.8,3,J0018,J0002,Normal,Diesel
V000108,Car,12.944318,77.640311,32.7,1,J0025,J0014,Normal,Electric
V000109,Bike,12.978672,77.68118,34.5,2,J0004,J0019,Normal,Petrol
V000110,Car,12.99604,77.540644,45.7,1,J0012,J0028,Normal,CNG
V000111,Bike,12.975068,77.608722,38.6,1,J0028,J0018,High,Petrol
V000112,Bike,12.971056,77.637861,10.4,3,J0009,J0001,Normal,Electric
V000113,Car,12.973995,77.586517,47.0,4,J0028,J0005,Normal,Petrol
V000114,Bike,12.978715,77.572828,28.7,4,J0003,J0024,Normal,Petrol
V000115,Car,12.994965,77.600178,15.0,1,J0010,J0024,Normal,Electric
V000116,Car,12.941369,77.638378,31.4,3,J0020,J0002,Normal,Petrol
V000117,Bus,12.974978,77.636515,19.0,1,J0015,J0014,Normal,Diesel
V000118,Car,13.010614,77.572764,38.7,3,J0022,J0019,Normal,Petrol
V000119,Car,12.975826,77.638249,35.7,2,J0002,J0001,Normal,CNG
V000120,Bike,13.008938,77.57875,18.6,4,J0011,J0004,Normal,Petrol
V000121,Car,12.992737,77.631482,22.1,3,J0008,J0017,Normal,Petrol
V000122,Bike,12.991192,77.671669,33.0,1,J0014,J0001,Normal,Electric
V000123,Bike,12.97027,77.569919,26.9,3,J0013,J0023,Normal,Petrol
V000124,Car,13.008639,77.6102,21.6,4,J0006,J0026,High,CNG
V000125,Bike,12.976823,77.5986,21.0,4,J0014,J0028,Normal,Petrol
V000126,Truck,12.992918,77.624332,34.1,2,J0028,J0010,Normal,Diesel
V000127,Car,12.964161,77.678119,38.1,2,J0021,J0004,Normal,Electric
V000128,Car,12.960198,77.628486,39.6,2,J0027,J0021,Normal,Petrol
V000129,Car,12.974523,77.58752,16.8,1,J0020,J0005,Normal,Petrol
V000130,Bike,12.984529,77.61704,41.7,4,J0015,J0025,Normal,Petrol
V000131,Bike,12.961985,77.65653,33.8,3,J0021,J0020,Normal,Petrol
V000132,Car,12.952974,77.628472,35.1,1,J0021,J0010,Normal,Petrol
V000133,Car,12.927539,77.614897,15.9,3,J0015,J0002,Normal,Petrol
V000134,Bike,12.969995,77.59381,30.0,1,J0020,J0017,Normal,Petrol
V000135,Bike,12.95885,77.659397,21.5,2,J0007,J0011,Normal,Electric
V000136,Bus,12.929708,77.658708,21.2,2,J0023,J0003,Normal,Diesel
V000137,Bike,12.952812,77.62919,27.9,3,J0017,J0020,Normal,Electric
V000138,Car,13.014319,77.592174,46.8,3,J0011,J0022,Normal,Petrol
V000139,Car,13.01186,77.574454,21.6,2,J0013,J0010,Normal,Petrol
V000140,Bike,12.959485,77.644346,26.1,4,J0030,J0012,Normal,Petrol
V000141,Bike,12.970648,77.592456,14.0,3,J0010,J0018,Normal,Electric
V000142,Bike,12.942154,77.614079,33.6,4,J0022,J0030,Normal,Petrol
V000143,Car,12.962804,77.619356,26.1,4,J0006,J0007,Normal,Petrol
V000144,Fire Truck,12.95496,77.643976,23.4,1,J0003,J0010,Emergency,Diesel
V000145,Truck,12.941082,77.615977,34.7,3,J0029,J0017,Normal,CNG
V000146,Bike,12.982127,77.642408,27.5,2,J0013,J0005,Normal,Electric
V000147,Car,12.992659,77.597687,26.2,4,J0022,J0024,Normal,Diesel
V000148,Bike,12.959552,77.629347,35.6,4,J0008,J0018,Normal,Electric
V000149,Car,13.015746,77.573045,15.3,3,J0019,J0015,Normal,CNG
V000150,Truck,12.88851,77.678514,37.4,2,J0006,J0027,Normal,CNG
V000151,Car,12.919855,77.662055,15.7,1,J0028,J0012,Normal,Diesel
V000152,Truck,13.007774,77.629991,32.5,3,J0010,J0003,Normal,Diesel
V000153,Truck,12.976191,77.605637,31.3,4,J0003,J0030,Normal,CNG
V000154,Ambulance,12.888614,77.676186,19.9,3,J0002,J0013,Emergency,Diesel
V000155,Fire Truck,12.993329,77.59779,42.1,3,J0008,J0001,Emergency,Diesel
V000156,Bike,12.963974,77.657038,22.2,1,J0011,J0026,Normal,Petrol
V000157,Bike,12.966614,77.642511,3.3,4,J0027,J0005,Normal,Petrol
V000158,Car,12.976479,77.598953,24.0,2,J0001,J0009,Normal,Diesel
V000159,Bike,12.984293,77.648946,31.7,2,J0014,J0004,Normal,Petrol
V000160,Car,12.886453,77.68104,26.0,1,J0021,J0026,Normal,Petrol
V000161,Bike,12.975489,77.641846,39.7,2,J0018,J0001,Normal,Petrol
V000162,Car,12.970477,77.586506,34.5,4,J0020,J0012,Normal,Petrol
V000163,Bike,12.982108,77.651681,31.9,1,J0012,J0003,High,Petrol
V000164,Bus,12.975988,77.60309,27.8,1,J0013,J0012,Normal,Diesel
V000165,Car,12.93602,77.60973,44.0,3,J0024,J0022,Normal,Petrol
V000166,Car,12.92866,77.655686,27.9,4,J0027,J0021,Normal,Electric
V000167,Bus,12.972681,77.588737,32.2,4,J0026,J0005,Normal,Diesel
V000168,Car,12.95296,77.575698,48.8,3,J0029,J0002,Normal,Diesel
V000169,Fire Truck,12.945062,77.587813,34.4,1,J0016,J0009,Emergency,Diesel
V000170,Car,12.978061,77.682155,39.7,3,J0028,J0025,Normal,Petrol
V000171,Bike,12.976891,77.60949,31.4,4,J0029,J0013,Normal,Petrol
V000172,Car,12.970974,77.641384,27.8,3,J0016,J0012,High,CNG
V000173,Bike,12.971822,77.597185,23.4,2,J0014,J0020,High,Petrol
V000174,Car,12.970102,77.595792,23.5,4,J0011,J0022,Normal,Diesel
V000175,Bus,12.96656,77.641645,36.8,3,J0015,J0012,Normal,CNG
V000176,Bus,12.974002,77.602844,35.3,4,J0026,J0002,Normal,Diesel
V000177,Bike,13.015968,77.572748,25.3,4,J0006,J0001,Normal,Petrol
V000178,Car,13.011458,77.591988,22.2,1,J0021,J0012,Normal,Diesel
V000179,Bike,12.996844,77.59668,36.7,2,J0012,J0015,Normal,Petrol
V000180,Car,12.959906,77.655039,45.6,1,J0009,J0008,High,CNG
V000181,Truck,12.980197,77.574444,14.2,3,J0030,J0018,Normal,Diesel
V000182,Car,12.905202,77.641096,47.0,4,J0010,J0023,High,Petrol
V000183,Car,12.991809,77.609909,56.5,4,J0015,J0006,Normal,Electric
V000184,Bike,13.012069,77.609198,29.3,3,J0022,J0012,Normal,Electric
V000185,Bike,12.996857,77.632375,32.8,2,J0023,J0030,Normal,Electric
V000186,Truck,13.010075,77.630195,34.2,4,J0007,J0026,Normal,Diesel
V000187,Truck,12.998767,77.599743,47.9,2,J0015,J0026,High,Diesel
V000188,Car,12.965024,77.613088,26.9,4,J0013,J0023,Normal,CNG
V000189,Bike,12.996394,77.606124,28.6,4,J0005,J0011,Normal,Petrol
V000190,Truck,12.974569,77.614799,42.9,2,J0029,J0027,Normal,Diesel
V000191,Car,12.966984,77.683803,21.9,1,J0030,J0028,Normal,Diesel
V000192,Car,12.94524,77.648095,15.5,3,J0011,J0030,Normal,Electric
V000193,Truck,13.003561,77.578578,28.6,3,J0028,J0003,Normal,Diesel
V000194,Car,12.945254,77.581705,48.7,2,J0003,J0017,Normal,Petrol
V000195,Bike,12.98169,77.638383,1.0,1,J0011,J0027,High,Electric
V000196,Car,12.994486,77.674498,31.5,2,J0021,J0025,Normal,CNG
V000197,Car,12.9738,77.604047,29.3,3,J0001,J0016,Normal,Diesel
V000198,Car,12.936525,77.611477,20.9,4,J0026,J0022,Normal,Petrol
V000199,Car,12.953796,77.632077,32.1,3,J0014,J0016,Normal,Diesel
V000200,Car,12.99284,77.632681,31.8,3,J0011,J0024,High,Electric
V000201,Car,12.995811,77.592864,31.7,2,J0017,J0018,Normal,Petrol
V000202,Car,12.938711,77.61034,26.6,4,J0005,J0004,Normal,CNG
V000203,Car,12.945675,77.649796,5.5,3,J0027,J0011,High,Petrol
V000204,Car,12.963927,77.677899,42.9,4,J0015,J0016,Normal,Petrol
V000205,Ambulance,12.967837,77.679714,17.9,2,J0015,J0008,Emergency,Diesel
V000206,Car,13.001967,77.576207,24.2,4,J0016,J0020,Normal,Petrol
V000207,Car,12.995166,77.542304,41.4,3,J0014,J0005,Normal,CNG
V000208,Car,12.994278,77.627492,44.7,3,J0002,J0019,Normal,Diesel
V000209,Car,12.967907,77.678349,26.8,1,J0015,J0025,Normal,Petrol
V000210,Car,12.992088,77.594283,36.9,3,J0026,J0011,Normal,CNG
V000211,Car,12.969327,77.679621,39.1,1,J0013,J0017,Normal,Petrol
V000212,Car,12.924281,77.65881,36.4,2,J0017,J0015,Normal,Petrol
V000213,Bike,12.942573,77.646003,33.9,3,J0013,J0020,Normal,Petrol
V000214,Truck,12.964348,77.676656,28.9,3,J0018,J0016,Normal,Diesel
V000215,Car,12.92833,77.660416,35.3,3,J0022,J0004,High,CNG
V000216,Bike,12.970363,77.63781,15.5,3,J0021,J0001,Normal,CNG
V000217,Bike,13.014346,77.588355,21.0,4,J0019,J0008,Normal,Petrol
V000218,Bike,12.908968,77.639681,13.9,2,J0025,J0027,Normal,Petrol
V000219,Ambulance,13.007821,77.632929,11.2,4,J0007,J0001,Emergency,Diesel
V000220,Car,12.969932,77.636196,49.0,4,J0007,J0014,Normal,CNG
V000221,Bike,12.96622,77.577266,27.6,3,J0023,J0005,Normal,CNG
V000222,Bus,12.979903,77.567046,43.0,3,J0011,J0006,Normal,Diesel
V000223,Bike,12.962302,77.626673,31.1,3,J0022,J0021,Normal,Petrol
V000224,Car,12.933622,77.613393,14.9,3,J0009,J0018,Normal,CNG
V000225,Bike,12.965196,77.637253,28.2,3,J0023,J0016,Normal,Petrol
V000226,Ambulance,12.957381,77.631924,35.5,1,J0009,J0010,Emergency,Diesel
V000227,Truck,12.994621,77.62655,34.0,2,J0027,J0012,High,Diesel
V000228,Car,12.99641,77.637793,22.2,3,J0003,J0012,High,CNG
V000229,Car,12.948931,77.585614,34.6,3,J0009,J0030,Normal,Petrol
V000230,Bike,12.91702,77.660744,37.8,2,J0008,J0002,Normal,Petrol
V000231,Car,12.890072,77.675487,13.6,2,J0011,J0023,Normal,Petrol
V000232,Truck,12.943799,77.651223,19.2,4,J0014,J0021,High,Diesel
V000233,Car,13.003727,77.578072,33.9,1,J0011,J0010,Normal,Diesel
V000234,Car,12.942496,77.615639,24.4,2,J0024,J0028,High,Petrol
V000235,Bike,12.994372,77.673248,18.2,2,J0027,J0013,Normal,Electric
V000236,Fire Truck,13.007073,77.582453,42.5,1,J0029,J0002,Emergency,Diesel
V000237,Bike,12.925208,77.655373,19.4,4,J0010,J0015,High,Electric
V000238,Car,12.967446,77.676855,39.0,1,J0015,J0009,Normal,Petrol
V000239,Bike,12.960566,77.65844,53.6,3,J0009,J0023,Normal,Electric
V000240,Bike,12.938281,77.636349,27.0,4,J0007,J0006,Normal,Electric
V000241,Truck,12.975341,77.594712,31.7,2,J0013,J0022,Normal,Diesel
V000242,Ambulance,12.970835,77.59175,49.7,2,J0009,J0013,Emergency,Diesel
V000243,Car,12.927136,77.657997,38.3,1,J0010,J0019,Normal,Petrol
V000244,Car,12.935395,77.607447,41.7,3,J0002,J0022,Normal,Petrol
V000245,Bike,12.99268,77.63549,27.3,3,J0025,J0010,Normal,Petrol
V000246,Car,12.981115,77.617975,38.2,3,J0016,J0005,Normal,Petrol
V000247,Truck,12.924474,77.663964,37.6,2,J0025,J0018,Normal,Diesel
V000248,Bike,12.976368,77.639399,38.8,4,J0028,J0026,Normal,Petrol
V000249,Car,12.970064,77.571549,36.3,2,J0004,J0002,Normal,Diesel
V000250,Car,13.011936,77.604949,34.1,2,J0028,J0017,Normal,Diesel
V000251,Truck,12.97008,77.684212,21.2,2,J0015,J0026,Normal,Diesel
V000252,Bus,12.966618,77.574661,42.5,3,J0018,J0015,Normal,CNG
V000253,Car,12.971417,77.591828,32.3,1,J0024,J0007,Normal,Petrol
V000254,Bike,12.944423,77.585064,28.3,4,J0002,J0030,Normal,Petrol
V000255,Car,13.01024,77.59178,27.7,4,J0005,J0025,Normal,Petrol
V000256,Bike,12.954836,77.630691,24.9,4,J0028,J0030,High,Petrol
V000257,Fire Truck,12.948443,77.58662,30.1,3,J0005,J0021,Emergency,Diesel
V000258,Fire Truck,12.994979,77.627124,27.6,2,J0017,J0005,Emergency,Diesel
V000259,Bike,12.963281,77.612377,30.7,4,J0015,J0022,Normal,Petrol
V000260,Bike,12.939468,77.606884,36.9,2,J0015,J0012,Normal,Electric
V000261,Bike,13.012978,77.631731,28.8,1,J0002,J0026,Normal,Petrol
V000262,Car,12.982354,77.63829,42.7,1,J0002,J0015,Normal,Petrol
V000263,Car,12.955956,77.629913,26.8,1,J0008,J0018,Normal,Petrol
V000264,Fire Truck,12.953129,77.588524,46.1,3,J0027,J0030,Emergency,Diesel
V000265,Bike,13.007983,77.610578,23.5,2,J0008,J0010,Normal,Petrol
V000266,Car,13.028804,77.613986,46.5,2,J0019,J0029,Normal,Diesel
V000267,Bus,12.986606,77.61689,18.6,4,J0002,J0012,High,CNG
V000268,Car,12.886258,77.675254,22.8,2,J0014,J0005,Normal,CNG
V000269,Bus,12.949215,77.586088,31.7,4,J0010,J0028,Normal,Electric
V000270,Bike,12.887667,77.682711,30.3,2,J0018,J0017,Normal,Petrol
V000271,Car,12.977392,77.594972,41.8,1,J0030,J0015,Normal,Diesel
V000272,Bike,12.963971,77.572203,25.9,1,J0009,J0013,Normal,Electric
V000273,Car,12.94229,77.63985,33.7,2,J0019,J0024,Normal,Petrol
V000274,Bike,12.926804,77.654687,32.9,2,J0010,J0030,Normal,CNG
V000275,Car,12.943665,77.638549,25.8,2,J0016,J0030,Normal,Petrol
V000276,Car,13.005075,77.61243,26.4,3,J0025,J0010,Normal,Petrol
V000277,Car,12.989804,77.616252,46.2,4,J0015,J0004,Normal,CNG
V000278,Car,12.968573,77.55179,26.3,2,J0012,J0011,Normal,CNG
V000279,Car,13.031638,77.617743,34.0,4,J0030,J0019,Normal,Petrol
V000280,Car,12.946872,77.587671,16.8,4,J0013,J0019,Normal,Diesel
V000281,Ambulance,12.932069,77.66092,25.9,4,J0009,J0025,Emergency,Petrol
V000282,Bike,12.991133,77.621497,24.1,3,J0015,J0006,Normal,Petrol
V000283,Bike,12.984932,77.618289,34.6,1,J0006,J0030,Normal,Petrol
V000284,Bike,12.994646,77.60501,48.1,1,J0027,J0022,Normal,Petrol
V000285,Bike,12.946788,77.582412,27.7,2,J0003,J0023,Normal,Petrol
V000286,Car,12.909441,77.637015,49.9,4,J0021,J0022,High,Diesel
V000287,Car,12.947972,77.585033,31.8,3,J0018,J0014,Normal,Diesel
V000288,Car,12.969282,77.679226,43.9,2,J0027,J0023,Normal,Petrol
V000289,Car,12.956454,77.646809,38.8,3,J0008,J0007,Normal,CNG
V000290,Car,12.998808,77.627385,50.5,4,J0003,J0012,High,Diesel
V000291,Fire Truck,12.95172,77.586092,40.2,1,J0010,J0022,Emergency,Diesel
V000292,Bike,12.942377,77.64177,33.1,4,J0002,J0003,Normal,Petrol
V000293,Car,12.971545,77.591145,30.3,4,J0023,J0006,Normal,Diesel
V000294,Car,12.996235,77.547072,33.5,2,J0029,J0017,High,Petrol
V000295,Bike,12.96867,77.569301,28.3,1,J0016,J0009,Normal,Petrol
V000296,Car,12.949062,77.588143,44.8,3,J0019,J0022,Normal,Petrol
V000297,Car,12.95939,77.6441,18.4,4,J0025,J0027,Normal,Electric
V000298,Car,12.974858,77.567861,39.5,4,J0008,J0019,Normal,Diesel
V000299,Truck,12.984205,77.569601,34.5,1,J0025,J0024,Normal,Diesel
V000300,Fire Truck,12.964125,77.578323,47.8,2,J0004,J0014,Emergency,Diesel
V000301,Car,13.012032,77.591875,27.5,3,J0020,J0013,High,Petrol
V000302,Car,12.952656,77.62955,33.9,4,J0016,J0008,Normal,Petrol
V000303,Bike,12.937671,77.644055,40.0,3,J0013,J0003,Normal,Electric
V000304,Bike,12.977622,77.598984,12.8,2,J0009,J0005,Normal,Electric
V000305,Car,13.001015,77.540725,26.4,4,J0003,J0001,High,Petrol
V000306,Car,12.974308,77.614706,35.8,4,J0003,J0006,Normal,Petrol
V000307,Car,13.03236,77.616669,47.7,3,J0003,J0020,Normal,CNG
V000308,Car,12.88811,77.683088,31.3,2,J0013,J0025,Normal,Diesel
V000309,Car,12.97781,77.573224,17.5,3,J0006,J0005,Normal,Diesel
V000310,Car,12.977479,77.606988,10.0,1,J0009,J0014,Normal,Petrol
V000311,Ambulance,12.96247,77.626796,34.4,2,J0021,J0016,Emergency,Diesel
V000312,Car,12.976471,77.586405,26.4,4,J0013,J0011,Normal,CNG
V000313,Car,12.928317,77.658383,38.5,2,J0014,J0027,Normal,Petrol
V000314,Bike,12.967004,77.637269,27.0,4,J0007,J0016,Normal,CNG
V000315,Car,12.970976,77.636915,31.5,2,J0021,J0016,High,Petrol
V000316,Car,12.994134,77.622366,34.4,2,J0012,J0004,High,Diesel
V000317,Truck,13.016505,77.575335,19.5,4,J0025,J0018,Normal,CNG
V000318,Car,13.00951,77.576442,46.4,4,J0027,J0023,Normal,Diesel
V000319,Car,12.967584,77.61894,35.4,4,J0008,J0009,Normal,CNG
V000320,Car,12.980459,77.640494,36.6,4,J0016,J0019,Normal,Diesel
V000321,Bike,12.997664,77.59619,30.0,1,J0023,J0029,Normal,Petrol
V000322,Car,12.938243,77.638084,39.1,1,J0012,J0006,Normal,Diesel
V000323,Bike,12.959496,77.656206,21.2,4,J0013,J0025,Normal,Petrol
V000324,Car,12.946654,77.585307,50.0,2,J0017,J0024,Normal,Petrol
V000325,Car,13.012107,77.589852,40.4,2,J0022,J0019,Normal,Petrol
V000326,Car,12.995042,77.541108,25.5,1,J0010,J0014,High,Petrol
V000327,Ambulance,12.959118,77.642113,27.5,3,J0012,J0010,Emergency,Diesel
V000328,Car,12.924496,77.664051,7.8,4,J0012,J0016,Normal,Petrol
V000329,Car,12.993135,77.639048,22.3,1,J0004,J0001,Normal,Diesel
V000330,Car,12.941326,77.616785,31.5,2,J0008,J0017,Normal,Petrol
V000331,Bus,12.929862,77.611957,47.0,2,J0008,J0026,Normal,Diesel
V000332,Bike,12.995041,77.626259,36.8,2,J0001,J0024,Normal,Petrol
V000333,Bus,12.96913,77.585826,29.5,1,J0023,J0007,Normal,Diesel
V000334,Bike,12.947302,77.581356,21.2,4,J0006,J0012,Normal,Petrol
V000335,Bike,12.990641,77.616622,46.0,4,J0017,J0021,Normal,Petrol
V000336,Bike,12.974379,77.680313,34.4,2,J0012,J0028,Normal,Electric
V000337,Bike,12.96167,77.619672,42.0,2,J0030,J0020,Normal,Petrol
V000338,Car,13.005881,77.629671,41.2,4,J0006,J0012,Normal,Petrol
V000339,Car,12.982214,77.57328,39.0,2,J0014,J0006,Normal,Diesel
V000340,Truck,12.976847,77.618636,35.9,1,J0006,J0011,Normal,CNG
V000341,Ambulance,12.987855,77.62017,45.2,4,J0005,J0007,Emergency,Petrol
V000342,Truck,12.988447,77.620874,34.0,4,J0014,J0022,Normal,Diesel
V000343,Car,12.97879,77.566986,25.5,1,J0026,J0025,Normal,Petrol
V000344,Truck,12.950276,77.648014,27.2,4,J0025,J0015,Normal,Diesel
