incident_id,road_id,incident_type,severity,start_time,expected_clear_time
INC00031,R0036,Vehicle Breakdown,Moderate,2026-07-31T01:32:00,2026-07-31T01:59:00
INC00032,R0035,Flood,Severe,2026-07-31T05:02:00,2026-07-31T05:48:00
INC00033,R0026,Tree Fall,Severe,2026-07-30T17:04:00,2026-07-30T18:00:00
INC00034,R0049,Accident,Minor,2026-07-29T21:52:00,2026-07-29T22:16:00
INC00035,R0041,Accident,Severe,2026-07-31T07:28:00,2026-07-31T08:17:00
INC00036,R0018,Flood,Severe,2026-07-31T19:07:00,2026-07-31T20:52:00
INC00037,R0048,Vehicle Breakdown,Severe,2026-07-31T09:40:00,2026-07-31T10:37:00
INC00038,R0011,Construction,Moderate,2026-07-31T00:02:00,2026-07-31T00:48:00
INC00039,R0039,Construction,Moderate,2026-07-30T20:36:00,2026-07-30T21:25:00
INC00040,R0045,Accident,Minor,2026-07-30T01:05:00,2026-07-30T01:35:00
INC00041,R0029,Construction,Minor,2026-07-31T06:42:00,2026-07-31T06:58:00
INC00042,R0041,Accident,Moderate,2026-07-29T15:07:00,2026-07-29T15:37:00
INC00043,R0016,Vehicle Breakdown,Critical,2026-07-29T17:45:00,2026-07-29T21:00:00
INC00044,R0021,Vehicle Breakdown,Severe,2026-07-29T18:13:00,2026-07-29T19:31:00
INC00045,R0012,Construction,Severe,2026-07-30T14:28:00,2026-07-30T15:38:00
INC00046,R0006,Vehicle Breakdown,Minor,2026-07-31T03:31:00,2026-07-31T03:59:00
INC00047,R0015,Accident,Minor,2026-07-30T07:13:00,2026-07-30T07:25:00
INC00048,R0030,Accident,Moderate,2026-07-29T23:02:00,2026-07-29T23:25:00
INC00049,R0026,Construction,Moderate,2026-07-29T20:22:00,2026-07-29T20:47:00
INC00050,R0024,Accident,Moderate,2026-07-29T01:55:00,2026-07-29T02:48:00
INC00051,R0028,Construction,Severe,2026-07-31T19:28:00,2026-07-31T20:28:00
INC00052,R0015,Construction,Minor,2026-07-30T12:20:00,2026-07-30T12:39:00
INC00053,R0048,Vehicle Breakdown,Minor,2026-07-30T04:12:00,2026-07-30T04:41:00
INC00054,R0014,Tree Fall,Minor,2026-07-30T01:51:00,2026-07-30T02:14:00
INC00055,R0012,Vehicle Breakdown,Minor,2026-07-30T15:37:00,2026-07-30T15:55:00
INC00056,R0016,Construction,Severe,2026-07-31T02:28:00,2026-07-31T04:27:00
INC00057,R0044,Construction,Minor,2026-07-31T16:01:00,2026-07-31T16:15:00
INC00058,R0021,Tree Fall,Minor,2026-07-30T04:58:00,2026-07-30T05:20:00
INC00059,R0046,Vehicle Breakdown,Moderate,2026-07-29T09:58:00,2026-07-29T10:24:00
INC00060,R0036,Accident,Minor,2026-07-30T08:03:00,2026-07-30T08:28:00
INC00061,R0023,Tree Fall,Critical,2026-07-29T06:12:00,2026-07-29T07:43:00
INC00062,R0017,Vehicle Breakdown,Minor,2026-07-31T05:53:00,2026-07-31T06:14:00
INC00063,R0009,Tree Fall,Moderate,2026-07-30T00:29:00,2026-07-30T01:05:00
INC00064,R0011,Vehicle Breakdown,Critical,2026-07-31T15:54:00,2026-07-31T17:57:00
INC00065,R0006,Accident,Moderate,2026-07-29T19:21:00,2026-07-29T19:57:00
INC00066,R0008,Accident,Critical,2026-07-31T20:09:00,2026-07-31T22:50:00
INC00067,R0048,Vehicle Breakdown,Minor,2026-07-30T11:56:00,2026-07-30T12:25:00
INC00068,R0049,Tree Fall,Moderate,2026-07-31T11:29:00,2026-07-31T11:59:00
INC00069,R0021,Construction,Moderate,2026-07-29T20:39:00,2026-07-29T21:34:00
INC00070,R0043,Construction,Minor,2026-07-30T01:47:00,2026-07-30T02:01:00
INC00071,R0004,Accident,Minor,2026-07-30T11:31:00,2026-07-30T11:46:00
INC00072,R0046,Vehicle Breakdown,Minor,2026-07-31T19:34:00,2026-07-31T19:45:00
INC00073,R0029,Vehicle Breakdown,Moderate,2026-07-31T18:14:00,2026-07-31T19:03:00
INC00074,R0032,Accident,Moderate,2026-07-29T20:12:00,2026-07-29T20:39:00
INC00075,R0023,Accident,Severe,2026-07-30T00:39:00,2026-07-30T01:45:00
INC00076,R0048,Vehicle Breakdown,Minor,2026-07-30T04:59:00,2026-07-30T05:27:00
INC00077,R0001,Vehicle Breakdown,Moderate,2026-07-31T08:51:00,2026-07-31T09:15:00
INC00078,R0016,Construction,Moderate,2026-07-30T20:52:00,2026-07-30T21:13:00
INC00079,R0019,Construction,Moderate,2026-07-31T05:49:00,2026-07-31T06:32:00
INC00080,R0038,Tree Fall,Minor,2026-07-30T20:10:00,2026-07-30T20:24:00
INC00081,R0002,Accident,Severe,2026-07-31T17:30:00,2026-07-31T19:13:00
INC00082,R0041,Tree Fall,Moderate,2026-07-29T00:47:00,2026-07-29T01:28:00
INC00083,R0003,Construction,Critical,2026-07-30T20:21:00,2026-07-31T00:16:00
INC00084,R0009,Accident,Minor,2026-07-30T14:37:00,2026-07-30T14:57:00
INC00085,R0004,Construction,Moderate,2026-07-31T04:04:00,2026-07-31T04:29:00
INC00086,R0026,Accident,Minor,2026-07-31T06:27:00,2026-07-31T06:39:00
INC00087,R0002,Flood,Minor,2026-07-31T06:56:00,2026-07-31T07:15:00
INC00088,R0042,Construction,Moderate,2026-07-29T16:27:00,2026-07-29T17:06:00
INC00089,R0032,Flood,Moderate,2026-07-30T18:20:00,2026-07-30T19:18:00
INC00090,R0009,Vehicle Breakdown,Minor,2026-07-31T02:10:00,2026-07-31T02:36:00
INC00091,R0013,Vehicle Breakdown,Severe,2026-07-31T17:02:00,2026-07-31T18:21:00
INC00092,R0037,Construction,Minor,2026-07-31T09:41:00,2026-07-31T10:02:00
INC00093,R0040,Accident,Moderate,2026-07-29T12:41:00,2026-07-29T13:03:00
INC00094,R0033,Accident,Moderate,2026-07-30T06:36:00,2026-07-30T07:05:00
INC00095,R0032,Vehicle Breakdown,Moderate,2026-07-29T11:27:00,2026-07-29T12:05:00
INC00096,R0030,Vehicle Breakdown,Severe,2026-07-31T17:12:00,2026-07-31T18:35:00
INC00097,R0010,Tree Fall,Moderate,2026-07-30T17:00:00,2026-07-30T17:35:00
INC00098,R0034,Vehicle Breakdown,Moderate,2026-07-29T10:26:00,2026-07-29T10:48:00
INC00099,R0033,Accident,Minor,2026-07-29T12:54:00,2026-07-29T13:18:00
INC00100,R0043,Construction,Severe,2026-07-31T00:31:00,2026-07-31T01:48:00
INC00101,R0038,Accident,Moderate,2026-07-29T15:33:00,2026-07-29T16:22:00
INC00102,R0012,Construction,Severe,2026-07-29T06:10:00,2026-07-29T07:05:00
INC00103,R0027,Flood,Minor,2026-07-31T14:07:00,2026-07-31T14:31:00
INC00104,R0040,Flood,Minor,2026-07-30T01:33:00,2026-07-30T01:49:00
INC00105,R0012,Accident,Critical,2026-07-30T11:24:00,2026-07-30T13:21:00
INC00106,R0028,Vehicle Breakdown,Minor,2026-07-29T15:55:00,2026-07-29T16:05:00
INC00107,R0011,Construction,Moderate,2026-07-31T07:18:00,2026-07-31T08:16:00
INC00108,R0047,Vehicle Breakdown,Moderate,2026-07-31T01:15:00,2026-07-31T02:00:00
INC00109,R0020,Accident,Minor,2026-07-30T02:03:00,2026-07-30T02:16:00
INC00110,R0002,Construction,Minor,2026-07-29T03:39:00,2026-07-29T03:55:00
INC00111,R0031,Construction,Moderate,2026-07-31T11:29:00,2026-07-31T12:29:00
INC00112,R0035,Accident,Minor,2026-07-31T15:16:00,2026-07-31T15:30:00
INC00113,R0031,Vehicle Breakdown,Minor,2026-07-29T20:48:00,2026-07-29T21:12:00
INC00114,R0032,Vehicle Breakdown,Severe,2026-07-30T09:07:00,2026-07-30T10:17:00
INC00115,R0019,Vehicle Breakdown,Severe,2026-07-29T06:57:00,2026-07-29T08:24:00
INC00116,R0001,Accident,Severe,2026-07-31T10:57:00,2026-07-31T12:35:00
INC00117,R0032,Construction,Moderate,2026-07-30T15:42:00,2026-07-30T16:04:00
INC00118,R0032,Vehicle Breakdown,Moderate,2026-07-31T18:36:00,2026-07-31T19:10:00
INC00119,R0046,Accident,Minor,2026-07-30T19:07:00,2026-07-30T19:34:00
INC00120,R0005,Accident,Moderate,2026-07-31T16:37:00,2026-07-31T17:04:00
INC00121,R0032,Construction,Moderate,2026-07-31T13:12:00,2026-07-31T13:59:00
INC00122,R0002,Accident,Moderate,2026-07-31T16:04:00,2026-07-31T16:46:00
INC00123,R0029,Accident,Minor,2026-07-30T22:18:00,2026-07-30T22:47:00
INC00124,R0046,Construction,Minor,2026-07-30T16:03:00,2026-07-30T16:25:00
INC00125,R0027,Flood,Moderate,2026-07-31T01:11:00,2026-07-31T02:01:00
INC00126,R0011,Construction,Minor,2026-07-29T11:46:00,2026-07-29T12:11:00
INC00127,R0009,Accident,Minor,2026-07-31T19:11:00,2026-07-31T19:24:00
INC00128,R0027,Tree Fall,Moderate,2026-07-30T08:02:00,2026-07-30T08:35:00
INC00129,R0036,Accident,Minor,2026-07-30T11:36:00,2026-07-30T11:57:00
INC00130,R0044,Accident,Severe,2026-07-31T20:44:00,2026-07-31T21:33:00
INC00131,R0005,Accident,Minor,2026-07-30T06:57:00,2026-07-30T07:10:00
INC00132,R0036,Accident,Minor,2026-07-30T22:27:00,2026-07-30T22:48:00
INC00133,R0050,Accident,Severe,2026-07-30T12:31:00,2026-07-30T13:35:00
INC00134,R0045,Flood,Moderate,2026-07-29T14:13:00,2026-07-29T14:36:00
INC00135,R0029,Construction,Critical,2026-07-29T15:08:00,2026-07-29T17:05:00
INC00136,R0040,Construction,Severe,2026-07-29T13:54:00,2026-07-29T15:50:00
INC00137,R0003,Vehicle Breakdown,Minor,2026-07-29T16:07:00,2026-07-29T16:23:00
INC00138,R0024,Accident,Minor,2026-07-31T12:16:00,2026-07-31T12:42:00
INC00139,R0032,Construction,Minor,2026-07-31T01:39:00,2026-07-31T01:59:00
INC00140,R0009,Accident,Minor,2026-07-31T08:45:00,2026-07-31T08:55:00
INC00141,R0016,Flood,Moderate,2026-07-30T15:09:00,2026-07-30T16:01:00
INC00142,R0011,Accident,Minor,2026-07-31T08:39:00,2026-07-31T09:00:00
INC00143,R0041,Construction,Minor,2026-07-31T09:34:00,2026-07-31T09:51:00
INC00144,R0009,Flood,Minor,2026-07-31T07:53:00,2026-07-31T08:17:00
INC00145,R0034,Construction,Minor,2026-07-29T04:03:00,2026-07-29T04:27:00
INC00146,R0010,Construction,Moderate,2026-07-31T22:38:00,2026-07-31T23:02:00
INC00147,R0006,Accident,Minor,2026-07-29T22:26:00,2026-07-29T22:49:00
INC00148,R0004,Vehicle Breakdown,Minor,2026-07-29T20:36:00,2026-07-29T21:04:00
INC00149,R0004,Tree Fall,Critical,2026-07-31T22:58:00,2026-08-01T01:43:00
INC00150,R0027,Vehicle Breakdown,Moderate,2026-07-30T17:33:00,2026-07-30T18:13:00
INC00151,R0023,Accident,Minor,2026-07-29T20:03:00,2026-07-29T20:25:00
INC00152,R0029,Construction,Severe,2026-07-31T12:22:00,2026-07-31T13:51:00
INC00153,R0042,Vehicle Breakdown,Minor,2026-07-30T17:10:00,2026-07-30T17:22:00
INC00154,R0003,Vehicle Breakdown,Minor,2026-07-29T17:12:00,2026-07-29T17:38:00
INC00155,R0035,Accident,Minor,2026-07-30T18:37:00,2026-07-30T19:03:00
INC00156,R0022,Construction,Minor,2026-07-29T03:48:00,2026-07-29T04:15:00
INC00157,R0038,Accident,Severe,2026-07-30T17:29:00,2026-07-30T19:08:00
INC00158,R0033,Accident,Minor,2026-07-31T02:55:00,2026-07-31T03:13:00
INC00159,R0041,Vehicle Breakdown,Minor,2026-07-29T17:01:00,2026-07-29T17:25:00
INC00160,R0020,Vehicle Breakdown,Minor,2026-07-30T22:16:00,2026-07-30T22:33:00
INC00161,R0048,Tree Fall,Moderate,2026-07-30T07:55:00,2026-07-30T08:37:00
INC00162,R0020,Accident,Severe,2026-07-29T19:06:00,2026-07-29T20:39:00
INC00163,R0034,Construction,Minor,2026-07-31T22:30:00,2026-07-31T22:58:00
INC00164,R0013,Flood,Minor,2026-07-29T13:22:00,2026-07-29T13:36:00
INC00165,R0046,Vehicle Breakdown,Minor,2026-07-29T12:35:00,2026-07-29T12:46:00
INC00166,R0028,Tree Fall,Moderate,2026-07-31T12:54:00,2026-07-31T13:18:00
INC00167,R0024,Construction,Minor,2026-07-31T22:51:00,2026-07-31T23:13:00
INC00168,R0017,Vehicle Breakdown,Moderate,2026-07-31T12:05:00,2026-07-31T12:56:00
INC00169,R0047,Tree Fall,Severe,2026-07-29T19:42:00,2026-07-29T21:31:00
INC00170,R0009,Vehicle Breakdown,Moderate,2026-07-31T22:04:00,2026-07-31T22:57:00
INC00171,R0008,Construction,Moderate,2026-07-29T04:27:00,2026-07-29T04:57:00
INC00172,R0036,Vehicle Breakdown,Critical,2026-07-31T07:47:00,2026-07-31T09:45:00
INC00173,R0008,Vehicle Breakdown,Minor,2026-07-31T23:22:00,2026-07-31T23:36:00
INC00174,R0008,Vehicle Breakdown,Critical,2026-07-30T17:24:00,2026-07-30T20:09:00
INC00175,R0032,Accident,Minor,2026-07-31T09:35:00,2026-07-31T09:46:00
INC00176,R0020,Tree Fall,Minor,2026-07-31T18:44:00,2026-07-31T18:54:00
INC00177,R0008,Vehicle Breakdown,Minor,2026-07-29T06:06:00,2026-07-29T06:29:00
INC00178,R0031,Vehicle Breakdown,Moderate,2026-07-30T22:07:00,2026-07-30T22:51:00
INC00179,R0031,Flood,Severe,2026-07-29T18:07:00,2026-07-29T19:09:00
INC00180,R0033,Construction,Severe,2026-07-31T13:18:00,2026-07-31T14:22:00
INC00181,R0047,Accident,Severe,2026-07-31T07:55:00,2026-07-31T09:29:00
INC00182,R0015,Tree Fall,Minor,2026-07-29T06:15:00,2026-07-29T06:39:00
INC00183,R0048,Accident,Minor,2026-07-29T22:36:00,2026-07-29T22:46:00
INC00184,R0037,Construction,Severe,2026-07-30T18:10:00,2026-07-30T20:06:00
INC00185,R0042,Accident,Moderate,2026-07-30T02:16:00,2026-07-30T03:15:00
INC00186,R0035,Vehicle Breakdown,Minor,2026-07-31T23:14:00,2026-07-31T23:30:00
INC00187,R0049,Vehicle Breakdown,Severe,2026-07-29T16:25:00,2026-07-29T18:18:00
INC00188,R0012,Tree Fall,Minor,2026-07-30T04:05:00,2026-07-30T04:22:00
INC00189,R0046,Flood,Moderate,2026-07-29T11:33:00,2026-07-29T12:27:00
INC00190,R0039,Accident,Moderate,2026-07-31T19:06:00,2026-07-31T19:27:00
INC00191,R0022,Vehicle Breakdown,Minor,2026-07-30T19:19:00,2026-07-30T19:41:00
INC00192,R0017,Accident,Critical,2026-07-29T22:57:00,2026-07-30T01:40:00
INC00193,R0010,Accident,Severe,2026-07-29T21:03:00,2026-07-29T22:27:00
INC00194,R0027,Construction,Minor,2026-07-30T20:24:00,2026-07-30T20:39:00
INC00195,R0002,Construction,Minor,2026-07-29T13:28:00,2026-07-29T13:48:00
INC00196,R0010,Vehicle Breakdown,Minor,2026-07-31T03:16:00,2026-07-31T03:29:00
INC00197,R0004,Accident,Severe,2026-07-30T08:17:00,2026-07-30T10:05:00
INC00198,R0033,Construction,Minor,2026-07-29T15:42:00,2026-07-29T16:00:00
INC00199,R0004,Accident,Moderate,2026-07-29T08:56:00,2026-07-29T09:46:00
INC00200,R0002,Vehicle Breakdown,Minor,2026-07-29T02:32:00,2026-07-29T02:50:00
