log_id,timestamp,junction_id,neighbor_junction_id,message_type,priority_class,day_type,is_festival,is_rain,is_accident,proposed_green_time_sec,counter_offer_time_sec,final_agreed_time_sec,negotiation_rounds,response_latency_ms,congestion_index,avg_speed_kmph,waiting_time_sec,travel_time_sec,fuel_consumption_l,co2_emission_kg,confidence_score,recommendation_reason
LOG1000010,2025-02-09 15:26:03.000000,J013,J010,COUNTER,Bus,Weekend,False,False,False,41.2,22.9,29.6,2,305,0.145,37.1,4.6,64.3,0.043,0.099,0.951,Bus priority granted - green extension issued to reduce transit delay
LOG1000011,2025-07-26 08:14:49.000000,J010,J017,COUNTER,Bus,Weekend,False,True,False,88.4,67.6,75.3,2,267,0.561,20.7,42.9,148.2,0.076,0.177,0.911,Bus priority granted - green extension issued to reduce transit delay
LOG1000012,2026-05-22 21:32:11.000000,J037,J001,GRANT,Bus,Weekday,False,False,False,48.8,48.8,48.8,1,229,0.195,31.0,13.6,42.7,0.028,0.065,0.99,Bus priority granted - green extension issued to reduce transit delay
LOG1000013,2025-01-17 16:00:14.000000,J016,J036,GRANT,Bus,Weekday,False,False,False,57.5,57.5,55.7,1,265,0.238,35.9,17.9,84.1,0.08,0.186,0.955,Bus priority granted - green extension issued to reduce transit delay
LOG1000014,2026-04-21 15:44:54.000000,J036,J012,GRANT,Bus,Weekday,False,False,False,52.1,52.1,54.7,1,233,0.168,34.5,8.9,63.5,0.057,0.131,0.968,Bus priority granted - green extension issued to reduce transit delay
LOG1000015,2025-09-15 16:52:09.000000,J002,J014,COUNTER,Normal,Weekday,False,False,False,61.7,46.6,54.6,2,294,0.53,16.3,32.3,161.2,0.095,0.218,0.954,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000016,2026-02-13 15:31:17.000000,J035,J011,GRANT,Bus,Weekday,False,False,False,51.6,51.6,51.8,1,244,0.184,34.1,16.1,75.9,0.062,0.143,0.963,Bus priority granted - green extension issued to reduce transit delay
LOG1000017,2025-02-26 08:04:28.000000,J012,J029,DENY_THEN_COUNTER,Bus,Weekday,False,False,False,94.1,57.0,60.5,4,393,0.515,24.3,35.8,99.4,0.073,0.168,0.91,Bus priority granted - green extension issued to reduce transit delay
LOG1000018,2025-07-05 21:23:55.000000,J005,J004,GRANT,Normal,Weekend,False,False,False,32.7,32.7,32.9,1,278,0.237,34.7,20.2,118.7,0.092,0.213,0.977,Normal free-flow traffic - standard signal timing maintained
LOG1000019,2025-03-09 08:25:03.000000,J027,J029,DENY_THEN_COUNTER,Normal,Weekend,False,False,False,63.4,43.8,52.1,4,457,0.584,19.5,38.6,134.7,0.062,0.143,0.911,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000020,2026-06-21 18:10:44.000000,J015,J032,DENY_THEN_COUNTER,Bus,Weekend,False,True,False,100.0,67.7,75.6,3,346,0.614,26.0,38.4,131.0,0.106,0.245,0.875,Bus priority granted - green extension issued to reduce transit delay
LOG1000021,2025-04-17 17:46:36.000000,J015,J004,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,84.0,61.0,67.1,4,357,0.84,12.9,52.8,179.2,0.102,0.236,0.906,Heavy congestion detected - signal timing extended and reroute suggested
LOG1000022,2025-08-09 17:18:08.000000,J001,J010,GRANT,Bus,Weekend,False,False,False,72.3,72.3,70.7,1,257,0.311,37.3,16.0,61.2,0.052,0.12,0.939,Bus priority granted - green extension issued to reduce transit delay
LOG1000023,2026-05-04 15:49:52.000000,J034,J005,COUNTER,Normal,Weekday,False,True,False,61.3,36.2,44.5,2,311,0.511,26.1,35.6,151.0,0.092,0.212,0.921,Light rain detected - minor speed reduction advised
LOG1000024,2025-07-15 08:49:59.000000,J015,J020,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,86.2,75.6,75.8,4,409,0.855,13.6,58.0,113.8,0.076,0.176,0.898,Heavy congestion detected - signal timing extended and reroute suggested
LOG1000025,2026-04-07 11:32:45.000000,J011,J023,COUNTER,Normal,Weekday,False,False,False,32.1,25.0,28.4,2,317,0.23,30.2,19.2,90.7,0.083,0.193,0.962,Normal free-flow traffic - standard signal timing maintained
LOG1000026,2025-01-08 21:50:32.000000,J035,J019,GRANT,Normal,Weekday,False,False,False,27.8,27.8,27.9,1,269,0.192,34.3,16.8,50.0,0.027,0.061,0.972,Normal free-flow traffic - standard signal timing maintained
LOG1000027,2025-11-12 22:45:53.000000,J006,J035,GRANT,Normal,Weekday,False,False,False,27.0,27.0,25.0,1,283,0.136,30.2,10.1,94.8,0.085,0.195,0.962,Normal free-flow traffic - standard signal timing maintained
LOG1000028,2025-08-16 19:12:29.000000,J032,J024,DENY_THEN_COUNTER,Bus,Weekend,True,True,False,101.8,66.0,74.7,3,477,0.616,19.3,44.5,131.0,0.085,0.197,0.841,Bus priority granted - green extension issued to reduce transit delay
LOG1000029,2025-01-07 06:30:57.000000,J020,J021,GRANT,Bus,Weekday,False,False,False,43.3,43.3,42.9,1,304,0.173,39.7,16.8,69.8,0.054,0.124,0.966,Bus priority granted - green extension issued to reduce transit delay
LOG1000030,2025-08-03 12:08:39.000000,J021,J014,GRANT,Bus,Weekend,False,False,False,41.8,41.8,41.7,1,204,0.09,37.2,9.4,35.4,0.019,0.043,0.981,Bus priority granted - green extension issued to reduce transit delay
LOG1000031,2025-08-28 20:36:09.000000,J040,J003,DENY_THEN_COUNTER,Normal,Weekday,True,False,False,70.9,46.1,51.3,3,391,0.658,20.8,38.2,108.3,0.074,0.171,0.908,Festival crowd surge detected - alternate route and extended cycle recommended
LOG1000032,2025-01-23 15:29:44.000000,J029,J026,GRANT,Normal,Weekday,False,False,False,44.5,44.5,40.8,1,228,0.326,25.2,19.9,111.5,0.092,0.212,0.95,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000033,2025-08-12 07:39:34.000000,J021,J036,DENY_THEN_COUNTER,Bus,Weekday,False,True,False,94.9,55.8,67.4,3,347,0.553,23.9,29.8,139.5,0.102,0.236,0.855,Bus priority granted - green extension issued to reduce transit delay
LOG1000034,2025-06-10 12:40:59.000000,J008,J021,GRANT,Normal,Weekday,False,True,False,45.0,45.0,49.0,1,240,0.32,35.4,24.0,66.8,0.058,0.134,0.897,Light rain detected - minor speed reduction advised
LOG1000035,2025-04-11 17:22:26.000000,J003,J037,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,83.2,61.7,67.1,3,351,0.689,18.4,52.3,122.2,0.048,0.112,0.944,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000036,2026-05-01 11:55:45.000000,J009,J031,GRANT,Normal,Weekday,True,False,False,42.6,42.6,42.8,1,262,0.399,22.4,25.9,109.5,0.08,0.184,0.887,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000037,2025-08-01 21:16:10.000000,J009,J015,COUNTER,Normal,Weekday,False,True,False,67.3,37.6,46.3,2,328,0.647,17.3,37.7,123.4,0.067,0.154,0.879,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1000038,2025-08-05 13:36:35.000000,J030,J027,COUNTER,Normal,Weekday,False,True,False,33.9,28.3,28.2,2,313,0.239,32.1,14.3,79.0,0.061,0.141,0.881,Light rain detected - minor speed reduction advised
LOG1000039,2025-08-18 23:41:47.000000,J041,J038,GRANT,Bus,Weekday,False,True,False,47.2,47.2,50.2,1,226,0.119,31.3,13.2,39.8,0.036,0.083,0.933,Bus priority granted - green extension issued to reduce transit delay
LOG1000040,2025-04-02 10:27:38.000000,J031,J038,COUNTER,Normal,Weekday,False,False,False,62.8,38.8,47.7,2,288,0.562,21.2,37.9,123.5,0.083,0.191,0.965,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000041,2025-07-06 08:05:56.000000,J015,J039,GRANT,Bus,Weekend,False,False,False,65.0,65.0,67.5,1,237,0.336,33.5,23.2,76.1,0.065,0.151,0.958,Bus priority granted - green extension issued to reduce transit delay
LOG1000042,2025-06-13 09:14:47.000000,J015,J026,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,87.0,49.9,57.6,3,376,0.895,11.9,62.4,174.8,0.085,0.196,0.925,Heavy congestion detected - signal timing extended and reroute suggested
LOG1000043,2026-03-02 14:28:11.000000,J025,J004,GRANT,Bus,Weekday,False,False,False,37.4,37.4,36.9,1,265,0.137,30.2,10.7,75.1,0.061,0.141,0.954,Bus priority granted - green extension issued to reduce transit delay
LOG1000044,2026-02-19 18:13:43.000000,J010,J028,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,88.4,49.8,58.9,4,352,0.91,11.8,58.5,167.3,0.081,0.187,0.893,Heavy congestion detected - signal timing extended and reroute suggested
LOG1000045,2025-08-02 09:59:41.000000,J017,J009,COUNTER,Normal,Weekend,False,False,False,52.3,44.3,45.6,2,309,0.535,22.4,30.3,112.7,0.067,0.155,0.948,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000046,2025-01-28 18:42:25.000000,J022,J013,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,89.1,68.2,70.3,4,380,0.888,11.6,54.8,222.0,0.092,0.212,0.893,Heavy congestion detected - signal timing extended and reroute suggested
LOG1000047,2025-06-14 13:16:03.000000,J001,J031,COUNTER,Normal,Weekend,False,False,False,22.7,17.6,19.5,2,312,0.082,40.4,2.0,50.8,0.044,0.102,0.946,Normal free-flow traffic - standard signal timing maintained
LOG1000048,2026-02-08 16:37:58.000000,J030,J021,COUNTER,Normal,Weekend,False,False,False,36.4,22.1,27.2,2,314,0.34,28.6,19.7,40.4,0.029,0.068,0.969,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000049,2025-07-03 10:15:08.000000,J040,J013,DENY_THEN_COUNTER,Normal,Weekday,False,True,False,83.5,47.7,52.6,4,409,0.816,14.2,55.1,230.2,0.105,0.242,0.854,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1000050,2025-06-07 20:23:15.000000,J040,J012,GRANT,Normal,Weekend,False,True,False,53.6,53.6,52.8,1,279,0.403,21.7,26.1,147.6,0.094,0.216,0.909,Light rain detected - minor speed reduction advised
LOG1000051,2026-06-21 14:58:58.000000,J016,J039,COUNTER,Normal,Weekend,False,False,False,31.2,22.6,26.3,2,325,0.192,32.3,6.5,24.4,0.021,0.049,0.939,Normal free-flow traffic - standard signal timing maintained
LOG1000052,2025-07-13 18:02:55.000000,J014,J040,COUNTER,Bus,Weekend,False,False,False,71.6,46.8,58.9,2,286,0.39,32.1,27.8,76.8,0.076,0.175,0.94,Bus priority granted - green extension issued to reduce transit delay
LOG1000053,2026-02-18 12:40:21.000000,J001,J019,COUNTER,Normal,Weekday,False,False,False,30.6,25.6,28.8,2,288,0.191,35.1,7.9,60.7,0.054,0.126,0.929,Normal free-flow traffic - standard signal timing maintained
LOG1000054,2025-02-01 07:19:49.000000,J026,J019,COUNTER,Normal,Weekend,False,False,False,34.8,26.2,29.6,2,246,0.304,33.9,23.4,61.0,0.05,0.115,0.964,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000055,2025-01-22 12:29:33.000000,J012,J042,GRANT,Bus,Weekday,False,False,False,35.1,35.1,32.5,1,223,0.062,37.4,2.0,49.1,0.058,0.134,0.972,Bus priority granted - green extension issued to reduce transit delay
LOG1000056,2026-01-24 15:30:33.000000,J040,J003,COUNTER,Normal,Weekend,False,False,False,23.3,14.4,12.0,2,284,0.195,37.8,10.0,49.7,0.052,0.12,0.941,Normal free-flow traffic - standard signal timing maintained
LOG1000057,2025-06-16 16:10:04.000000,J009,J041,GRANT,Normal,Weekday,False,False,False,46.9,46.9,46.9,1,230,0.38,25.4,18.6,69.7,0.051,0.119,0.979,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000058,2025-06-26 17:12:00.000000,J027,J014,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,70.7,42.1,53.8,3,405,0.659,16.8,38.2,158.7,0.081,0.187,0.924,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000059,2026-06-18 19:02:02.000000,J040,J030,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,90.0,71.8,77.6,4,360,0.874,13.5,61.3,191.8,0.103,0.239,0.919,Heavy congestion detected - signal timing extended and reroute suggested
LOG1000060,2025-07-13 09:57:41.000000,J005,J031,COUNTER,Normal,Weekend,False,False,False,59.9,43.5,46.0,2,342,0.512,21.6,34.9,63.3,0.042,0.097,0.958,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000061,2026-03-12 11:05:50.000000,J014,J040,COUNTER,Normal,Weekday,False,False,False,38.3,32.1,29.5,2,326,0.348,28.2,20.7,73.2,0.069,0.159,0.935,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000062,2026-01-23 18:14:29.000000,J014,J042,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,90.0,78.9,80.3,4,457,0.869,10.9,50.5,240.7,0.108,0.25,0.905,Heavy congestion detected - signal timing extended and reroute suggested
LOG1000063,2025-04-24 16:35:54.000000,J009,J041,GRANT,Normal,Weekday,False,False,False,54.2,54.2,53.5,1,327,0.456,21.8,26.3,105.8,0.082,0.19,0.957,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000064,2025-02-19 21:31:55.000000,J003,J036,COUNTER,Normal,Weekday,False,False,False,34.4,23.9,25.5,2,300,0.31,31.6,19.9,80.1,0.049,0.112,0.954,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000065,2026-05-10 17:56:00.000000,J015,J038,DENY_THEN_COUNTER,Bus,Weekend,False,True,False,99.4,71.3,75.4,3,384,0.577,27.1,41.4,90.5,0.074,0.17,0.883,Bus priority granted - green extension issued to reduce transit delay
LOG1000066,2025-07-14 07:01:26.000000,J017,J015,DENY_THEN_COUNTER,Normal,Weekday,False,True,False,68.8,59.7,60.9,3,418,0.632,18.3,36.5,133.9,0.082,0.189,0.898,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1000067,2025-12-15 07:50:01.000000,J012,J034,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,67.8,53.5,60.3,3,334,0.654,18.8,40.6,104.8,0.056,0.128,0.948,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000068,2025-09-09 15:57:07.000000,J018,J016,GRANT,Bus,Weekday,False,False,False,53.5,53.5,47.9,1,187,0.189,37.5,18.9,71.9,0.061,0.142,0.961,Bus priority granted - green extension issued to reduce transit delay
LOG1000069,2025-01-12 19:17:48.000000,J021,J016,COUNTER,Normal,Weekend,False,False,False,54.8,49.1,52.6,2,273,0.498,26.0,27.9,102.5,0.081,0.188,0.968,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000070,2026-02-25 10:33:18.000000,J027,J041,COUNTER,Normal,Weekday,False,False,False,50.8,42.9,45.3,2,325,0.41,22.3,27.3,143.0,0.08,0.186,0.937,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000071,2025-01-05 09:45:09.000000,J031,J032,DENY_THEN_COUNTER,Normal,Weekend,False,False,False,62.4,55.1,54.0,3,304,0.54,20.0,35.5,150.2,0.094,0.217,0.908,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000072,2025-04-29 10:13:05.000000,J037,J003,DENY_THEN_COUNTER,Bus,Weekday,False,False,False,69.4,46.7,51.4,4,412,0.401,29.2,32.8,97.4,0.082,0.189,0.912,Bus priority granted - green extension issued to reduce transit delay
LOG1000073,2025-07-27 10:31:56.000000,J010,J036,DENY_THEN_COUNTER,Bus,Weekend,False,True,False,98.9,65.9,74.0,4,432,0.537,22.8,34.3,142.7,0.089,0.206,0.874,Bus priority granted - green extension issued to reduce transit delay
LOG1000074,2025-04-15 21:58:52.000000,J004,J039,COUNTER,Normal,Weekday,True,False,False,46.2,37.7,42.2,2,302,0.384,35.1,27.7,90.9,0.075,0.174,0.879,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000075,2026-02-12 15:05:48.000000,J018,J040,COUNTER,Normal,Weekday,False,False,False,32.4,19.5,22.1,2,369,0.273,35.6,13.1,69.9,0.066,0.153,0.964,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000076,2026-05-19 09:11:50.000000,J040,J033,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,89.1,73.7,77.3,3,316,0.845,14.5,59.0,236.5,0.11,0.254,0.946,Heavy congestion detected - signal timing extended and reroute suggested
LOG1000077,2025-08-31 19:33:41.000000,J014,J036,COUNTER,Normal,Weekend,False,True,False,71.1,42.0,50.5,2,325,0.639,18.9,33.8,164.4,0.104,0.24,0.901,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1000078,2025-10-26 08:28:53.000000,J017,J008,DENY_THEN_COUNTER,Normal,Weekend,False,False,False,70.1,41.6,51.5,3,365,0.673,21.3,41.6,118.3,0.082,0.189,0.935,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000079,2025-12-02 09:55:48.000000,J017,J022,DENY_THEN_COUNTER,Bus,Weekday,False,False,False,91.3,68.2,71.3,3,371,0.48,22.2,30.5,120.5,0.08,0.185,0.926,Bus priority granted - green extension issued to reduce transit delay
LOG1000080,2026-06-20 19:25:42.000000,J027,J008,COUNTER,Normal,Weekend,False,False,False,48.7,34.4,37.2,2,224,0.522,25.3,33.1,120.9,0.1,0.23,0.93,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000081,2025-04-16 20:13:28.000000,J004,J008,COUNTER,Normal,Weekday,False,True,False,73.1,57.5,62.2,2,262,0.665,20.9,46.7,178.0,0.12,0.277,0.891,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1000082,2025-02-13 09:45:22.000000,J020,J033,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,77.1,44.7,50.4,4,427,0.742,12.6,37.5,232.8,0.116,0.268,0.891,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000083,2025-12-16 18:41:34.000000,J040,J036,COUNTER,Normal,Weekday,False,False,False,90.0,60.4,69.2,2,310,0.89,15.2,52.8,187.3,0.099,0.229,0.928,Heavy congestion detected - signal timing extended and reroute suggested
LOG1000084,2025-06-18 14:26:55.000000,J028,J035,GRANT,Normal,Weekday,False,False,False,30.1,30.1,30.2,1,250,0.172,35.8,5.8,42.4,0.039,0.09,0.961,Normal free-flow traffic - standard signal timing maintained
LOG1000085,2025-03-11 13:17:36.000000,J022,J041,COUNTER,Normal,Weekday,False,False,False,26.4,16.0,22.0,2,282,0.116,26.5,5.0,64.9,0.034,0.079,0.97,Normal free-flow traffic - standard signal timing maintained
LOG1000086,2025-08-13 22:44:56.000000,J032,J026,GRANT,Normal,Weekday,False,False,False,33.4,33.4,35.2,1,172,0.192,23.2,10.1,71.0,0.049,0.113,0.973,Normal free-flow traffic - standard signal timing maintained
LOG1000087,2025-07-12 18:47:31.000000,J015,J038,COUNTER,Normal,Weekend,False,False,False,73.8,56.6,64.4,2,330,0.633,23.1,45.9,117.2,0.1,0.23,0.944,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000088,2025-08-30 10:23:43.000000,J008,J027,GRANT,Normal,Weekend,False,False,False,51.3,51.3,49.6,1,247,0.415,24.2,22.6,82.8,0.059,0.135,0.958,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000089,2026-01-17 16:32:26.000000,J039,J020,COUNTER,Bus,Weekend,False,False,False,58.2,46.4,51.0,2,304,0.257,34.5,16.1,66.5,0.048,0.111,0.95,Bus priority granted - green extension issued to reduce transit delay
LOG1000090,2025-10-24 14:55:30.000000,J017,J001,COUNTER,Normal,Weekday,False,False,False,26.5,21.6,21.1,2,320,0.159,36.5,17.3,66.4,0.066,0.152,0.949,Normal free-flow traffic - standard signal timing maintained
LOG1000091,2025-08-20 16:12:48.000000,J031,J026,COUNTER,Normal,Weekday,False,True,False,53.0,32.4,39.3,2,249,0.495,28.2,32.6,92.2,0.079,0.183,0.905,Light rain detected - minor speed reduction advised
LOG1000092,2025-12-27 15:55:27.000000,J011,J012,GRANT,Normal,Weekend,False,False,False,40.1,40.1,39.8,1,292,0.293,31.0,17.7,104.9,0.087,0.202,0.976,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000093,2025-12-11 00:05:12.000000,J003,J016,GRANT,Normal,Weekday,False,False,False,22.5,22.5,22.4,1,282,0.149,31.1,9.5,92.1,0.056,0.13,0.99,Normal free-flow traffic - standard signal timing maintained
LOG1000094,2025-06-10 08:27:29.000000,J009,J038,GRANT,Ambulance,Weekday,False,True,False,115.0,115.0,115.0,1,238,0.17,32.3,8.5,50.6,0.058,0.134,0.904,Ambulance priority active - all conflicting signals preempted for corridor clearance
LOG1000095,2025-03-10 19:15:02.000000,J042,J031,COUNTER,Bus,Weekday,False,False,False,85.1,74.1,79.0,2,280,0.462,23.1,31.0,102.7,0.067,0.155,0.981,Bus priority granted - green extension issued to reduce transit delay
LOG1000096,2025-01-11 15:37:10.000000,J033,J023,COUNTER,Normal,Weekend,False,False,False,31.1,26.8,30.9,2,240,0.227,28.0,13.0,52.5,0.037,0.085,0.955,Normal free-flow traffic - standard signal timing maintained
LOG1000097,2026-02-26 09:35:01.000000,J002,J033,COUNTER,Normal,Weekday,False,False,False,80.4,58.6,66.9,2,273,0.804,15.4,51.4,154.2,0.082,0.19,0.94,Heavy congestion detected - signal timing extended and reroute suggested
LOG1000098,2025-03-31 20:17:16.000000,J026,J021,COUNTER,Normal,Weekday,True,False,False,79.2,66.5,69.1,2,289,0.701,15.2,52.8,108.8,0.061,0.14,0.905,Festival crowd surge detected - alternate route and extended cycle recommended
LOG1000099,2025-01-13 08:47:37.000000,J036,J020,DENY_THEN_COUNTER,Normal,Weekday,False,False,False,90.0,70.6,73.9,4,449,0.881,11.4,61.7,204.3,0.09,0.209,0.89,Heavy congestion detected - signal timing extended and reroute suggested
LOG1000100,2025-01-27 11:16:35.000000,J038,J001,COUNTER,Normal,Weekday,True,False,False,55.7,35.8,44.9,2,303,0.486,23.8,36.8,90.9,0.048,0.111,0.92,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000101,2025-04-29 19:19:26.000000,J040,J023,DENY_THEN_COUNTER,Bus,Weekday,False,False,False,102.0,79.2,81.5,4,466,0.602,14.2,41.9,171.9,0.077,0.177,0.922,Bus priority granted - green extension issued to reduce transit delay
LOG1000102,2026-06-11 17:57:25.000000,J012,J039,COUNTER,Normal,Weekday,False,False,False,90.0,53.8,67.7,2,280,0.837,18.0,63.9,130.0,0.083,0.192,0.913,Heavy congestion detected - signal timing extended and reroute suggested
LOG1000103,2025-05-21 15:38:41.000000,J030,J042,COUNTER,Normal,Weekday,False,True,False,44.8,27.5,32.7,2,255,0.426,26.5,31.5,112.9,0.107,0.246,0.862,Light rain detected - minor speed reduction advised
LOG1000104,2026-06-12 10:52:16.000000,J012,J032,COUNTER,Normal,Weekday,False,True,False,58.3,41.2,46.6,2,301,0.524,28.0,34.2,96.5,0.08,0.184,0.905,Light rain detected - minor speed reduction advised
LOG1000105,2025-12-26 07:45:44.000000,J015,J005,DENY_THEN_COUNTER,Normal,Weekday,True,False,False,82.5,58.5,64.7,4,423,0.837,13.9,56.4,177.8,0.105,0.242,0.852,Festival crowd surge detected - alternate route and extended cycle recommended
LOG1000106,2026-05-15 19:24:26.000000,J023,J006,COUNTER,Normal,Weekday,False,True,False,90.0,79.5,85.9,2,340,0.858,13.4,57.8,159.0,0.069,0.159,0.839,Heavy rain reducing visibility and grip - reduced speed and longer buffer advised
LOG1000107,2026-01-17 08:33:31.000000,J037,J010,COUNTER,Normal,Weekend,False,False,False,65.6,54.7,54.4,2,326,0.619,19.5,39.8,121.5,0.082,0.19,0.928,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000108,2025-04-03 07:02:58.000000,J028,J023,COUNTER,Normal,Weekday,False,False,False,51.7,33.6,43.0,2,314,0.394,28.8,32.6,71.6,0.056,0.13,0.975,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000109,2025-03-26 06:02:00.000000,J004,J040,GRANT,Bus,Weekday,False,False,False,45.8,45.8,48.8,1,232,0.111,28.6,6.4,59.3,0.045,0.105,0.984,Bus priority granted - green extension issued to reduce transit delay
LOG1000110,2026-01-01 18:52:14.000000,J018,J012,DENY_THEN_COUNTER,Normal,Weekday,True,False,False,89.3,55.6,61.8,3,322,0.904,12.5,61.6,311.8,0.151,0.348,0.846,Festival crowd surge detected - alternate route and extended cycle recommended
LOG1000111,2025-02-06 10:51:39.000000,J022,J001,GRANT,Normal,Weekday,False,False,False,46.9,46.9,47.6,1,257,0.427,33.6,23.3,70.0,0.057,0.132,0.975,Moderate traffic flow - standard adaptive signal timing in effect
LOG1000112,2025-11-09 18:43:10.000000,J025,J019,COUNTER,Bus,Weekend,False,False,False,75.9,61.2,64.9,2,328,0.403,31.2,28.3,63.7,0.051,0.117,0.942,Bus priority granted - green extension issued to reduce transit delay
LOG1000113,2025-03-29 17:32:55.000000,J014,J009,COUNTER,Bus,Weekend,False,False,False,67.7,40.4,48.9,2,277,0.334,26.5,19.6,87.7,0.052,0.12,0.952,Bus priority granted - green extension issued to reduce transit delay
