bus_id,route,current_location_lat,current_location_long,current_road_id,occupancy_pct,eta_min
BMTC0071,252F,12.968049,77.614356,R0020,100,22.7
BMTC0072,MF-1C,12.945295,77.644437,R0043,30,19.7
BMTC0073,V-500,12.98087,77.640074,R0039,49,5.6
BMTC0074,G4,12.921033,77.659131,R0038,74,24.6
BMTC0075,356E,12.995529,77.633326,R0046,68,17.4
BMTC0076,G4,13.015529,77.642715,R0018,10,8.8
BMTC0077,MF-1C,12.958653,77.641142,R0010,18,1.5
BMTC0078,V-500,12.995125,77.62904,R0026,41,2.0
BMTC0079,401M,12.980217,77.653594,R0034,82,23.9
BMTC0080,MF-1C,12.99212,77.618397,R0032,69,23.8
BMTC0081,500D,12.968902,77.572972,R0037,21,16.4
BMTC0082,356E,13.00376,77.579017,R0019,68,4.1
BMTC0083,201,12.980012,77.682339,R0023,48,16.0
BMTC0084,V-500,12.993699,77.623766,R0026,32,24.8
BMTC0085,G4,12.891946,77.682807,R0027,32,8.1
BMTC0086,201,12.905292,77.640431,R0040,65,12.9
BMTC0087,252F,12.926785,77.617745,R0030,94,9.7
BMTC0088,201,12.972314,77.584196,R0012,82,14.5
BMTC0089,252F,13.000761,77.544383,R0007,99,13.6
BMTC0090,G4,12.990953,77.676758,R0003,30,23.3
BMTC0091,500BC,13.013161,77.641438,R0018,90,13.9
BMTC0092,KBS-3A,12.949161,77.588251,R0035,95,24.9
BMTC0093,201,12.998525,77.603443,R0005,37,23.9
BMTC0094,252F,12.989137,77.621428,R0032,80,10.8
BMTC0095,401M,13.008022,77.629047,R0008,19,4.5
BMTC0096,500K,12.940285,77.642609,R0049,74,1.9
BMTC0097,290F,13.010831,77.587211,R0050,51,10.7
BMTC0098,MF-1C,12.893897,77.676498,R0027,31,4.5
BMTC0099,G4,12.947152,77.63566,R0017,74,1.8
BMTC0100,MF-1C,12.995855,77.674684,R0003,13,19.4
